SYMBOL,logFC,adj.P.Val,,,,,,,,Gene,,CTNNB1 （22 %）TP53 （29 %）LRP1B （28 %）PREX2 （22 %）ERBB4 （20 %）PTPRT （20 %）ZFHX3 （19 %）KMT2C （19 %）ALK （17 %）NTRK3 （17 %）锌f521 （18 %）CAMTA1 （18 %）FHIT （18 %）MAML2 （15 %）狐狸1 （15 %）GPHN （15 %）干旱2 （12 %）SND1 （15 %）LPP （15 %）GRIN2A （14 %）有突变的样本所有样品前20个基因规模（样本）基因
PDHX,-0.133825015,0.449528941,,,,,,,,MIR155,,
QSOX1,0.143281471,0.714924463,,,,,,,,PPARA,,
DCTN6,-0.034542332,0.897799245,,,,,,,,BMI1,,
SLC33A1,-0.997221661,2.27E-08,,,,,,,,TFDP1,,
WASL,-1.719407961,1.13E-17,,,,,,,,TGFA,,
PDE2A,-1.454243281,6.70E-05,,,,,,,,NANOG,,
IPO5,-0.997332795,1.88E-10,,,,,,,,SPHK1,,
POLRMT,1.105162659,0.002347148,,,,,,,,COMMD3-BMI1,,
EEF2K,-0.165154577,0.648292443,,,,,,,,H3P10,,
SAP18,-0.768064255,0.001131873,,,,,,,,AHR,,
EML1,0.458385532,0.021974237,,,,,,,,EZH2,,
DNM1L,-1.267629824,3.37E-20,,,,,,,,ALDH2,,
RTCA,-0.824217014,1.09E-09,,,,,,,,GPT,,
PIK3C2A,0.257112548,0.577771297,,,,,,,,HDAC2,,
GOLIM4,-0.889684785,3.29E-09,,,,,,,,HFE,,
MANBA,-1.257253991,0.00052129,,,,,,,,HK2,,
AGRN,-2.544847444,1.73E-24,,,,,,,,HSPA5,,
PLOD2,-2.414346333,3.78E-14,,,,,,,,IFI27,,
EXOC5,-1.327844009,6.25E-12,,,,,,,,IFNA1,,
BTN3A3,-0.055930491,0.832668314,,,,,,,,IFNA13,,
HMGN4,-0.396807436,0.009045265,,,,,,,,IL2,,
NDUFA4,0.567195393,1.41E-05,,,,,,,,CXCL8,,
PSMD14,-0.39417054,0.007704107,,,,,,,,JUN,,
BIN1,-0.324328147,0.026622483,,,,,,,,GASAL1,,
KPNA3,-0.957142857,1.51E-09,,,,,,,,MIR146A,,
STK25,0.235370782,0.53912524,,,,,,,,MIR15A,,
LAD1,-1.410224288,3.39E-07,,,,,,,,MIR200A,,
FAAH,0.121964033,0.610192717,,,,,,,,MIR27A,,
VWA5A,-1.305991109,5.70E-05,,,,,,,,MAT2A,,
PES1,-1.216286118,3.13E-05,,,,,,,,MDM2,,
EBAG9,-0.36850879,0.475228576,,,,,,,,MIR375,,
SDCBP,-1.84893918,4.38E-21,,,,,,,,PRKAA1,,
NOP56,-1.179814104,8.55E-08,,,,,,,,PRKAA2,,
DDX3X,-1.550262679,4.31E-27,,,,,,,,PRKAB1,,
RNASET2,0.354647404,0.062979369,,,,,,,,MAPK3,,
PODXL,0.704556476,0.019029616,,,,,,,,MAPK8,,
PIR,-1.01801374,9.46E-08,,,,,,,,PSMD10,,
KPNA4,-1.108739139,1.27E-08,,,,,,,,ROS1,,
TRIM38,0.187926854,0.576530207,,,,,,,,TAZ,,
PPP6C,-0.914265508,3.59E-09,,,,,,,,TERT,,
CES2,1.270701152,4.11E-09,,,,,,,,PNPLA3,,
MAN2B1,-0.715184886,0.000164979,,,,,,,,COL18A1,,
FBP2,1.595534451,3.50E-10,,,,,,,,AXIN2,,
ACACB,2.238583552,5.22E-20,,,,,,,,SQSTM1,,
PDXK,-0.075752677,0.555331171,,,,,,,,TMED7-TICAM2,,
SCD,-1.176601334,4.43E-06,,,,,,,,CDK2,,
PPAP2A,-0.567852091,0.012026043,,,,,,,,TRIM13,,
PPAP2B,0.16039604,0.399319761,,,,,,,,NCOA2,,
ARID1A,-0.046322489,0.906514726,,,,,,,,ZNRD2,,
TXNDC9,-0.334754496,0.177976134,,,,,,,,DCTN6,,
TRAFD1,0.892281269,0.009496781,,,,,,,,PPARGC1A,,
COX7A2L,0.244746413,0.105028166,,,,,,,,LOC110806263,,
HSPB6,0.419216003,0.177917321,,,,,,,,H3P23,,
NDUFAB1,0.150484946,0.251348006,,,,,,,,CXADR,,
UBFD1,-0.448474439,0.024275883,,,,,,,,CYP2E1,,
CYB561D2,-0.755293999,1.03E-06,,,,,,,,AKR1C2,,
COPE,-0.733441099,2.74E-12,,,,,,,,JAG1,,
EIF1AY;EIF1AX,-1.288017781,1.59E-11,,,,,,,,EGF,,
AP3D1,-2.237835926,1.76E-34,,,,,,,,ALCAM,,
CCS,0.381834714,0.002256834,,,,,,,,FGR,,
ABLIM1,-1.151272984,2.03E-06,,,,,,,,DKK1,,
GOSR2,-1.00215195,4.07E-11,,,,,,,,FOXO1,,
TOR1A,-0.145342493,0.502006457,,,,,,,,AKR1B1,,
TOR1B,-0.40976965,0.064810185,,,,,,,,USP22,,
STX16,-1.051141645,0.000104168,,,,,,,,CADM1,,
ADAM10,-0.607900586,3.58E-05,,,,,,,,MTOR,,
ABCD4,-0.959395838,0.00427784,,,,,,,,MIR7-3HG,,
EI24,1.089412002,1.38E-09,,,,,,,,SETD2,,
APAF1,-0.777934936,0.009021977,,,,,,,,CD274,,
ACOT8,-1.4837745,3.54E-14,,,,,,,,ANXA2,,
CDIPT,-0.569256415,0.003054524,,,,,,,,HGF,,
PDCD5,-1.113154173,1.95E-10,,,,,,,,HMGB1,,
PRMT5,-1.014770661,1.97E-13,,,,,,,,FOXA1,,
SLC9A3R1,-0.82662154,8.36E-13,,,,,,,,HSPB1,,
HSD17B6,2.376712467,1.44E-13,,,,,,,,HSPB2,,
FPGT,-0.810193979,0.000310895,,,,,,,,DNAJB1,,
TPP1,0.132632855,0.283937024,,,,,,,,HSPG2,,
TCERG1,-2.230117195,1.34E-21,,,,,,,,IGF1,,
NRP1,-0.740594059,0.000339626,,,,,,,,IGF1R,,
TNPO2,-1.536249747,3.16E-13,,,,,,,,TICAM2,,
APOL1,-0.420367751,0.099334396,,,,,,,,LCN2,,
UNC13B,-0.121761972,0.782085925,,,,,,,,MIR145,,
PSMA7,-0.065518287,0.485925004,,,,,,,,MIR148A,,
SCAMP3,-3.426571024,1.01E-42,,,,,,,,MIR203A,,
PHYH,0.769761568,0.000110824,,,,,,,,ARR3,,
OPLAH,-0.005213174,0.976991459,,,,,,,,MIR22,,
BCKDK,1.315720348,7.66E-13,,,,,,,,MCL1,,
IFIT3,-0.101010305,0.628879699,,,,,,,,MEF2D,,
MGST3,0.132541928,0.453307382,,,,,,,,MMP2,,
IRF6,-0.477631845,0.207072553,,,,,,,,MTHFR,,
TAX1BP3,-0.590887048,0.00193336,,,,,,,,NOTCH1,,
GIPC1,-0.93927056,0.000482012,,,,,,,,MIR424,,
LIN7A,-0.688593655,0.00532492,,,,,,,,PAEP,,
IKBKB,0.70741564,0.059612505,,,,,,,,TMED7,,
TIMM23;TIMM23B,-0.494130127,0.007563305,,,,,,,,PCNA,,
HAT1,-1.664871691,7.30E-12,,,,,,,,GOLM1,,
UBE2L6,-0.308526975,0.171849526,,,,,,,,PDCD1,,
CASK,-0.784410992,3.95E-08,,,,,,,,SIRT7,,
UQCRQ,0.279177612,0.183077072,,,,,,,,PHB,,
MYL12A;MYL12B,-0.680975955,4.93E-07,,,,,,,,PLK1,,
HGS,-1.244372601,7.17E-18,,,,,,,,POU5F1,,
RAB29,-0.74510002,0.009734813,,,,,,,,MEG3,,
CLGN,-0.78056173,0.021507897,,,,,,,,MIR449A,,
DSCR3,0.289321075,0.115236041,,,,,,,,PRKAR1A,,
PPP1R12A,-1.33867448,1.15E-12,,,,,,,,MAP2K7,,
SLC27A2,1.529531218,2.64E-11,,,,,,,,PSMD9,,
GAK,-1.397969287,1.58E-17,,,,,,,,NDRG2,,
HNRNPDL,-1.385390988,1.30E-15,,,,,,,,PTPN11,,
XPO1,-1.414679733,7.39E-26,,,,,,,,SATB1,,
BTAF1,0.600222267,0.113880792,,,,,,,,POU5F1P3,,
SPTBN2,2.075944635,2.44E-11,,,,,,,,POU5F1P4,,
SEC16A,-1.533077389,1.47E-12,,,,,,,,UCA1,,
PLXNB2,-0.595312184,1.79E-06,,,,,,,,CXADRP1,,
U2SURP,-1.850788038,1.93E-16,,,,,,,,SOX2,,
KIF3B,0.268862396,0.471117848,,,,,,,,SPG7,,
PFAS,-0.461982219,0.000843802,,,,,,,,SPP1,,
ANKRD28,-1.418357244,3.60E-11,,,,,,,,STK11,,
ARHGEF11,0.511345726,0.232217138,,,,,,,,TLR4,,
KIAA0391,-1.092816731,4.07E-06,,,,,,,,TWIST1,,
CHUK,-0.450899172,0.211701262,,,,,,,,XRCC1,,
LSM1,-1.274004849,9.14E-09,,,,,,,,FSD1,,
FYB,-0.740887048,0.027455137,,,,,,,,FSD1L,,
AGPAT2,1.361840776,1.17E-09,,,,,,,,CASR,,
SCAMP1,-1.233319863,1.37E-11,,,,,,,,OGT,,
SCAMP2,-1.835906244,5.04E-15,,,,,,,,CAV1,,
ARPC1B,-0.757496464,3.50E-08,,,,,,,,BECN1,,
ARPC2,-0.542665185,2.99E-06,,,,,,,,HDAC3,,
ARPC3,-0.747625783,6.23E-07,,,,,,,,CCK,,
BET1,-0.894786826,8.91E-11,,,,,,,,NR1I2,,
POLR1C,-1.216841786,2.84E-06,,,,,,,,HSPB3,,
PLSCR1,-0.31549808,0.186978536,,,,,,,,STARD13,,
PGRMC2,0.581036573,1.74E-07,,,,,,,,NR1I3,,
RGL2,0.319630228,0.452334591,,,,,,,,MIR675,,
PFDN6,-1.088664377,1.07E-05,,,,,,,,SRA1,,
GNPAT,-1.362093352,4.18E-11,,,,,,,,MIR300,,
KMO,2.690341483,7.47E-20,,,,,,,,MIR216B,,
LAMA5,-0.980268741,0.009683985,,,,,,,,MIR885,,
SLC22A1,1.39595878,9.77E-10,,,,,,,,MICA,,
CLIC2,0.702950091,0.001660334,,,,,,,,DNM1L,,
ACOX3,0.136663973,0.466388679,,,,,,,,NR1H3,,
RER1,-0.288876541,0.011807709,,,,,,,,APOBEC3A_B,,
SURF4,-0.058749242,0.663587396,,,,,,,,LNCNEF,,
SPTLC1,-0.57542938,0.018980764,,,,,,,,MSLN,,
SPTLC2,-0.515114164,0.097743846,,,,,,,,SPRY2,,
FANCG,-0.069256415,0.783993621,,,,,,,,CDKN3,,
OGT,-1.620276824,4.02E-09,,,,,,,,CPQ,,
PMM2,-0.126005254,0.316964164,,,,,,,,CARM1,,
CTAGE5,-0.003556274,0.976991459,,,,,,,,CEBPA,,
TM9SF1,-1.903222873,1.94E-23,,,,,,,,PERCC1,,
HMGB3,-1.599161447,2.95E-11,,,,,,,,NPC2,,
PPM1G,-2.460709234,8.65E-29,,,,,,,,POSTN,,
INPPL1,-0.498615882,0.187736605,,,,,,,,KHDRBS1,,
EIF3D,-1.010739543,1.94E-15,,,,,,,,CELF1,,
EIF3H,-1.083451202,3.79E-16,,,,,,,,HPSE,,
BCAT2,-2.55549606,1.25E-17,,,,,,,,PRDX3,,
IPO8,0.138836129,0.700358279,,,,,,,,WWP2,,
STX7,-0.750010103,3.01E-05,,,,,,,,CDCA5,,
SLC31A1,0.198120832,0.297435737,,,,,,,,CKS1B,,
ABCC3,-1.156647808,7.25E-06,,,,,,,,SLCO6A1,,
P4HA2,-0.108739139,0.755439449,,,,,,,,CREB1,,
CAPN5,0.125681956,0.547069627,,,,,,,,PARP1,,
GYG2,2.126146696,7.71E-16,,,,,,,,CCN2,,
YKT6,-1.269377652,7.43E-17,,,,,,,,GRK2,,
ARPC5,-0.921660942,1.67E-09,,,,,,,,DCN,,
POLR2D,-0.732703576,0.004007776,,,,,,,,NQO1,,
DDX3Y,-0.15811275,0.66228976,,,,,,,,DNMT1,,
PDPK1;PDPK2P,-1.434360477,4.65E-10,,,,,,,,DNMT3A,,
TAPBP,-1.010315215,1.89E-06,,,,,,,,EGR1,,
DHX15,-1.265700141,1.12E-20,,,,,,,,APOBEC3A,,
RNMT,-1.364558497,3.18E-07,,,,,,,,CTTN,,
ZZEF1,-0.274328147,0.37277262,,,,,,,,EPAS1,,
PLXNB1,0.045797131,0.830315574,,,,,,,,FAH,,
RRP8,0.41801374,0.19563273,,,,,,,,PTK2B,,
CYB5B,0.341301273,0.063198175,,,,,,,,FASN,,
PRPF4,-2.442998586,9.92E-30,,,,,,,,FBP1,,
PHGDH,2.382026672,6.34E-19,,,,,,,,FOXK1,,
NDUFS4,0.988805819,1.10E-05,,,,,,,,FHIT,,
43347,-0.352050919,0.182678692,,,,,,,,ZHX2,,
DYNC1LI2,-0.882865225,3.97E-09,,,,,,,,RPIA,,
PSMD3,-0.723822995,6.23E-12,,,,,,,,KDM1A,,
RBFOX2;RBFOX1;RBFOX3,-0.068993736,0.81193414,,,,,,,,FOXO3,,
PAPSS1,-2.220206102,1.55E-16,,,,,,,,TBC1D9,,
ZW10,-1.322095373,1.13E-15,,,,,,,,FLT4,,
PRODH,-1.215326329,0.000275172,,,,,,,,FN1,,
SART1,-2.600616286,1.31E-24,,,,,,,,CBX5,,
GPAA1,1.066518489,1.71E-05,,,,,,,,PES1,,
TGFB1I1,-0.137886442,0.650939135,,,,,,,,SUZ12,,
HSPA12A,-0.857253991,0.019099494,,,,,,,,FOS,,
CTIF,0.874186704,0.032822992,,,,,,,,NUP62,,
MTSS1,-1.054021014,7.63E-05,,,,,,,,GAPDH,,
PPIP5K2,-0.142230754,0.697236221,,,,,,,,TIAM2,,
MAP3K7,0.711426551,0.025846004,,,,,,,,GATA4,,
EEF1E1,-1.279894928,1.87E-16,,,,,,,,GCK,,
LYRM1,-0.683228935,0.001384933,,,,,,,,NUPR1,,
MSI1,-0.105293999,0.677846704,,,,,,,,LATS2,,
HNRNPR,-1.236360881,6.85E-20,,,,,,,,GGT1,,
PRPF3,-0.657476258,0.022009033,,,,,,,,GH1,,
TXNL1,-0.911072944,1.65E-15,,,,,,,,GJA1,,
TPD52L2,-1.346564963,1.12E-22,,,,,,,,IFNL3,,
EMC8,0.20585977,0.362057062,,,,,,,,NEAT1,,
ERI3,-0.570872904,0.000267721,,,,,,,,ATAD2,,
SYNJ1,1.694362497,0.000256359,,,,,,,,GTF2H1,,
FIBP,0.278298646,0.341891323,,,,,,,,HDAC1,,
EIF4G3,0.818902809,0.001547847,,,,,,,,STOML2,,
PPIH,-1.02589412,1.61E-05,,,,,,,,ANXA7,,
HTRA2,-0.470620327,0.117500437,,,,,,,,HMGA1,,
AKR7A2,0.571883209,2.56E-07,,,,,,,,HNRNPA1,,
EPB41L2,-0.509254395,0.004299539,,,,,,,,HSD17B4,,
TGOLN2,-0.990220247,1.08E-06,,,,,,,,XIAP,,
LAMTOR5,-0.719872702,5.50E-05,,,,,,,,HSPA9,,
DENR,-1.565548596,1.08E-17,,,,,,,,IDH1,,
XPOT,-1.848060214,3.01E-25,,,,,,,,IFNG,,
DNPH1,-0.393847242,0.001811901,,,,,,,,IGF2,,
TIMM44,-0.958951303,1.51E-16,,,,,,,,FAS,,
TRAPPC3,-0.516912508,0.000872311,,,,,,,,CXCR2,,
CHMP2A,-0.994564558,3.00E-07,,,,,,,,IL10,,
TSPAN6,-0.584461507,0.00346858,,,,,,,,IL17A,,
PLRG1,-1.682471206,1.09E-24,,,,,,,,ILF2,,
ZNF207,-1.438876541,7.65E-22,,,,,,,,JAK1,,
NDUFB5,0.622873308,8.19E-05,,,,,,,,JAK2,,
NDUFB3,0.836310366,3.49E-07,,,,,,,,JUNB,,
NDUFA2,0.553919984,0.003910078,,,,,,,,GSTK1,,
ASNA1,-1.18413821,5.80E-21,,,,,,,,KDR,,
BUB3,-1.547100424,4.61E-24,,,,,,,,KISS1,,
SULT1B1,2.01946858,4.13E-14,,,,,,,,KLRC1,,
ACTN4,-0.514780764,6.16E-09,,,,,,,,LGALS3BP,,
GSTZ1,2.793594666,2.10E-36,,,,,,,,MIRLET7B,,
GATC,-0.387229743,0.059612505,,,,,,,,MIR137,,
HTATSF1,-1.9880784,3.93E-15,,,,,,,,MIR152,,
PRKAB2,0.987684381,9.57E-07,,,,,,,,MIR15B,,
AP1G1,-0.568054152,4.59E-08,,,,,,,,MIR182,,
STX6,-0.320226308,0.24614326,,,,,,,,MIR199A1,,
SYNGR2,-1.692988483,9.35E-15,,,,,,,,MIR199A2,,
SGTA,-1.255334411,4.38E-20,,,,,,,,MIR214,,
SLC25A20,1.505758739,4.98E-16,,,,,,,,MIR222,,
NARS,-1.517094362,8.93E-30,,,,,,,,MIR25,,
MYO1B,-0.064356436,0.629212548,,,,,,,,MIR302A,,
SLC25A17,-0.481228531,0.02948505,,,,,,,,MIR30A,,
NUDT21,-1.45585977,2.90E-19,,,,,,,,MARCKS,,
LANCL1,-0.715659729,8.09E-09,,,,,,,,MXD1,,
STRN,-1.55774904,3.47E-13,,,,,,,,SMAD2,,
SCO2,0.126631643,0.532848765,,,,,,,,SMAD3,,
AKAP8,-0.210385937,0.505308236,,,,,,,,SMAD7,,
SLC37A4,1.542301475,3.65E-16,,,,,,,,MAT1A,,
IDH3B,-1.23662356,4.44E-17,,,,,,,,KITLG,,
NRD1,-1.5983431,6.17E-21,,,,,,,,CXCL9,,
CALU,-1.270711255,7.59E-19,,,,,,,,MKI67,,
AHCYL1,-0.210426349,0.145551026,,,,,,,,ACHE,,
CD5L,0.874297838,4.26E-05,,,,,,,,MMP9,,
XPNPEP2,-1.681865023,1.01E-08,,,,,,,,ASL,,
KIF1C,-1.148484542,0.001181228,,,,,,,,MIR338,,
GAS2,0.920883007,1.41E-05,,,,,,,,MIR372,,
NDUFS5,0.928813902,2.36E-06,,,,,,,,ASPH,,
PEX1,-1.357031724,1.87E-05,,,,,,,,MST1,,
RAD21,-1.215710244,1.42E-05,,,,,,,,MUC1,,
AKR1B10,-3.659739341,6.18E-14,,,,,,,,MYCN,,
TIMM8A,0.314154375,0.12950988,,,,,,,,NOTCH3,,
KALRN,-0.599060416,0.041687712,,,,,,,,MIR378A,,
DHX16,-0.561295211,0.09531893,,,,,,,,FOXP3,,
SSSCA1,-1.442311578,2.50E-16,,,,,,,,MLXIPL,,
GMFG,-0.264164478,0.27785699,,,,,,,,DCTN4,,
PLIN1,-0.888199636,0.014464798,,,,,,,,CPA4,,
PRPSAP2,0.104889877,0.461962716,,,,,,,,NUSAP1,,
GNG7,-0.856132552,2.12E-05,,,,,,,,YTHDF2,,
SMARCA5,-1.122246919,0.000462332,,,,,,,,SIRT6,,
SPAG9,-0.740765811,8.52E-09,,,,,,,,PIN1,,
MGRN1,0.542392403,0.091609367,,,,,,,,PLAU,,
SIPA1L3,1.459860578,8.37E-05,,,,,,,,PLXNB1,,
AQR,0.919195797,0.014336081,,,,,,,,ATP7B,,
MAST3,0.367256011,0.411919914,,,,,,,,POMC,,
OPA1,-1.047565165,3.45E-19,,,,,,,,XAF1,,
KIF1B,-1.432410588,1.49E-05,,,,,,,,LAPTM4B,,
KDM1A,-1.410456658,1.22E-06,,,,,,,,YOD1,,
TBC1D4,-1.104031117,0.000166698,,,,,,,,METTL3,,
NME2P1,-1.014002829,5.44E-06,,,,,,,,AKR1B10,,
PPL,0.938492625,0.000454074,,,,,,,,CIAPIN1,,
DFNA5,-1.414093756,4.32E-06,,,,,,,,SMURF1,,
MAN1A2,0.457557082,0.135704963,,,,,,,,SALL4,,
ACSL4,-3.904778743,3.13E-27,,,,,,,,PTGER3,,
SNX3,-0.68268337,9.03E-05,,,,,,,,PTK2,,
STX10,-0.981551829,2.14E-06,,,,,,,,BAX,,
MGEA5,-1.031976157,2.74E-09,,,,,,,,RAF1,,
SORBS3,-0.144372601,0.570075033,,,,,,,,PLAAT4,,
SYNCRIP,-0.96552839,1.88E-15,,,,,,,,RDX,,
CDC40,0.522610628,0.140034973,,,,,,,,RELA,,
RANBP6,-1.180975955,0.002149608,,,,,,,,SAV1,,
NEMF,0.011669024,0.971888701,,,,,,,,GAS5,,
GMDS,-0.543402708,0.001852606,,,,,,,,CLIP1,,
NMT2,-0.765609214,0.002024344,,,,,,,,SERPINB3,,
PLOD3,-2.021347747,8.81E-28,,,,,,,,SCD,,
EIF4E2,-0.647080218,0.004029797,,,,,,,,VSIR,,
DIAPH1,-0.673631037,1.04E-08,,,,,,,,SFPQ,,
43358,0.260486967,0.137030841,,,,,,,,SRSF1,,
EXOC3,-1.049717115,5.08E-07,,,,,,,,SHMT2,,
UGT1A9,1.941846838,3.80E-11,,,,,,,,SKP2,,
PLIN3,-0.502909679,0.000559678,,,,,,,,SLC5A2,,
PEX10,-0.239401899,0.415788884,,,,,,,,GGTLC5P,,
KPNA6,-0.63413821,0.00346488,,,,,,,,SOAT1,,
UGDH,-0.099515054,0.507908943,,,,,,,,MIR544A,,
LPXN,-0.437330774,0.170459945,,,,,,,,HNRNPA1P10,,
CTNND1,-0.281339665,0.021463355,,,,,,,,SOD2,,
SNX2,-0.197262073,0.057755062,,,,,,,,SRC,,
DPM1,-0.974095777,1.05E-11,,,,,,,,BRAF,,
USO1,-0.23390584,0.017728985,,,,,,,,AURKA,,
MRPS14,-1.396595272,1.24E-11,,,,,,,,BSG,,
TOM1,-0.746544757,5.00E-07,,,,,,,,TBX3,,
PFKFB2,0.083825015,0.805076039,,,,,,,,MIR590,,
CCDC22,-0.220488988,0.115015699,,,,,,,,ZEB1,,
PQBP1,-0.15847646,0.469560891,,,,,,,,TLR1,,
TIMM17B,-0.194655486,0.307093372,,,,,,,,TM4SF4,,
DKC1,-1.807961204,4.25E-18,,,,,,,,HSP90B1,,
EIF5B,-1.575378864,2.62E-32,,,,,,,,TTK,,
EDF1,-0.894221055,0.000986074,,,,,,,,GGTLC3,,
DIAPH2,-0.827015559,2.54E-07,,,,,,,,GGT2,,
DNAJA2,-0.272883411,0.0417257,,,,,,,,HULC,,
BRD4,-0.322944029,0.427051846,,,,,,,,CCR2,,
CUTA,-0.989836331,2.09E-07,,,,,,,,GGTLC4P,,
PFDN1,-0.688603758,0.004641616,,,,,,,,UGT2B7,,
PPP1R11,-0.980096989,4.80E-08,,,,,,,,CLIP2,,
NBN,-0.588401697,0.066432572,,,,,,,,XPO1,,
NOL3,-0.10582946,0.66916359,,,,,,,,ZFP36,,
DTNB,-0.295201051,0.453008288,,,,,,,,CXCR4,,
LILRB5,-1.021115377,0.000469012,,,,,,,,AIMP2,,
ABCB7,-0.563679531,0.00043241,,,,,,,,CALD1,,
SRGAP2,0.799555466,0.034563737,,,,,,,,IFT88,,
