node1,node2,node1_string_id,node2_string_id,neighborhood_on_chromosome,gene_fusion,phylogenetic_cooccurrence,homology,coexpression,experimentally_determined_interaction,database_annotated,automated_textmining,combined_score
AAR2,EFTUD1,9606.ENSP00000363043,9606.ENSP00000268206,0,0,0,0,0.067,0.369,0,0.189,0.48
AAR2,NHP2,9606.ENSP00000363043,9606.ENSP00000274606,0,0,0,0,0.152,0.249,0,0.2,0.446
AAR2,SNRPD1,9606.ENSP00000363043,9606.ENSP00000300413,0,0,0,0,0.093,0.428,0,0.109,0.498
AAR2,SRRM2,9606.ENSP00000363043,9606.ENSP00000301740,0,0,0,0,0.089,0.116,0,0.463,0.53
AAR2,SART1,9606.ENSP00000363043,9606.ENSP00000310448,0,0,0,0,0.105,0.241,0,0.678,0.762
AAR2,DDX23,9606.ENSP00000363043,9606.ENSP00000310723,0,0,0,0,0.107,0.803,0,0.606,0.925
AAR2,USP39,9606.ENSP00000363043,9606.ENSP00000312981,0,0,0,0,0.096,0,0,0.422,0.455
AAR2,TTC27,9606.ENSP00000363043,9606.ENSP00000313953,0,0,0,0,0.073,0.369,0,0.542,0.708
AAR2,SNRNP200,9606.ENSP00000363043,9606.ENSP00000317123,0,0,0,0,0.075,0.899,0,0.859,0.985
AAR2,RUVBL1,9606.ENSP00000363043,9606.ENSP00000318297,0,0,0,0,0.078,0.309,0,0.272,0.496
AAR2,PRPF31,9606.ENSP00000363043,9606.ENSP00000324122,0,0,0,0,0.064,0.173,0,0.707,0.753
AAR2,SEC16A,9606.ENSP00000363043,9606.ENSP00000325827,0,0,0,0,0,0,0,0.451,0.451
AAR2,DHX15,9606.ENSP00000363043,9606.ENSP00000336741,0,0,0,0,0.094,0.171,0,0.29,0.421
AAR2,CDC5L,9606.ENSP00000363043,9606.ENSP00000360532,0,0,0,0,0.174,0.176,0,0.405,0.56
AAR2,XRN2,9606.ENSP00000363043,9606.ENSP00000366396,0,0,0,0,0.132,0,0,0.35,0.412
AAR2,SRSF5,9606.ENSP00000363043,9606.ENSP00000452123,0,0,0,0,0.092,0.176,0,0.302,0.432
AAR2,SNRNP70,9606.ENSP00000363043,9606.ENSP00000472998,0,0,0,0,0.083,0.363,0,0.144,0.456
AAR2,PFDN6,9606.ENSP00000363043,9606.ENSP00000378563,0,0,0,0,0.078,0,0,0.51,0.529
AAR2,RUVBL2,9606.ENSP00000363043,9606.ENSP00000473172,0,0,0,0,0.092,0.369,0,0.268,0.544
AAR2,DDX46,9606.ENSP00000363043,9606.ENSP00000416534,0,0,0,0,0.082,0.27,0,0.395,0.559
AAR2,SNRPB,9606.ENSP00000363043,9606.ENSP00000412566,0,0,0,0,0.156,0.357,0,0.369,0.628
AAR2,PRPF4,9606.ENSP00000363043,9606.ENSP00000363313,0,0,0,0,0.095,0.06,0,0.624,0.653
AAR2,PRPF40A,9606.ENSP00000363043,9606.ENSP00000386458,0,0,0,0,0.17,0.154,0,0.601,0.696
AAR2,PRPF8,9606.ENSP00000363043,9606.ENSP00000460348,0,0,0,0,0.074,0.99,0,0.878,0.998
AAR2,EFTUD2,9606.ENSP00000363043,9606.ENSP00000392094,0,0,0,0,0.161,0.991,0,0.938,0.999
AARS2,MRPS34,9606.ENSP00000244571,9606.ENSP00000177742,0,0,0,0,0.049,0,0,0.587,0.591
AARS2,RBX1,9606.ENSP00000244571,9606.ENSP00000216225,0,0,0,0,0.063,0.343,0,0.187,0.455
AARS2,HARS2,9606.ENSP00000244571,9606.ENSP00000230771,0.081,0,0,0,0.306,0,0,0.77,0.84
AARS2,NAT10,9606.ENSP00000244571,9606.ENSP00000257829,0,0,0,0,0.411,0,0,0.049,0.415
AARS2,OXA1L,9606.ENSP00000244571,9606.ENSP00000483491,0,0,0,0,0.065,0,0,0.407,0.421
AARS2,PSPH,9606.ENSP00000244571,9606.ENSP00000378854,0.048,0,0,0,0.062,0,0,0.406,0.423
AARS2,NOS3,9606.ENSP00000244571,9606.ENSP00000297494,0,0,0,0,0.101,0,0,0.389,0.427
AARS2,GMPS,9606.ENSP00000244571,9606.ENSP00000419851,0,0,0,0,0.359,0,0,0.156,0.435
AARS2,IPO4,9606.ENSP00000244571,9606.ENSP00000346453,0,0,0,0,0.445,0,0,0,0.445
AARS2,MRPS16,9606.ENSP00000244571,9606.ENSP00000362036,0.183,0,0,0,0.092,0.275,0,0.096,0.449
AARS2,ALDH18A1,9606.ENSP00000244571,9606.ENSP00000360268,0.328,0,0,0,0.126,0,0,0.143,0.452
AARS2,XPOT,9606.ENSP00000244571,9606.ENSP00000327821,0,0,0,0,0.095,0,0,0.426,0.458
AARS2,SRP19,9606.ENSP00000244571,9606.ENSP00000424870,0,0,0,0,0,0,0,0.472,0.472
AARS2,OLA1,9606.ENSP00000244571,9606.ENSP00000284719,0.152,0,0.264,0,0.109,0,0,0.17,0.477
AARS2,PHGDH,9606.ENSP00000244571,9606.ENSP00000358417,0.043,0,0,0,0.063,0,0,0.467,0.48
AARS2,SRP14,9606.ENSP00000244571,9606.ENSP00000267884,0,0,0,0,0,0,0,0.485,0.485
AARS2,YME1L1,9606.ENSP00000244571,9606.ENSP00000318480,0.078,0,0.22,0,0.112,0,0,0.302,0.495
AARS2,CSTF2,9606.ENSP00000244571,9606.ENSP00000362063,0,0,0,0,0.055,0.147,0,0.424,0.495
AARS2,HSP90AB1,9606.ENSP00000244571,9606.ENSP00000360609,0,0,0,0,0.062,0.162,0,0.415,0.5
AARS2,SRP68,9606.ENSP00000244571,9606.ENSP00000312066,0,0,0,0,0.145,0,0,0.442,0.502
AARS2,PUS1,9606.ENSP00000244571,9606.ENSP00000365837,0.049,0,0,0,0.063,0,0,0.494,0.51
AARS2,MRPS22,9606.ENSP00000244571,9606.ENSP00000418008,0,0,0,0,0.055,0,0,0.51,0.518
AARS2,FARSA,9606.ENSP00000244571,9606.ENSP00000320309,0.07,0,0,0,0.188,0,0,0.462,0.558
AARS2,PSAT1,9606.ENSP00000244571,9606.ENSP00000365773,0,0,0,0,0.049,0.213,0,0.466,0.565
AARS2,SRP9,9606.ENSP00000244571,9606.ENSP00000305230,0,0,0,0,0,0.217,0,0.482,0.577
AARS2,EIF3B,9606.ENSP00000244571,9606.ENSP00000354125,0,0,0,0,0.572,0,0,0.066,0.583
AARS2,ETF1,9606.ENSP00000244571,9606.ENSP00000353741,0,0,0,0,0.127,0,0,0.578,0.616
AARS2,ANAPC2,9606.ENSP00000244571,9606.ENSP00000314004,0,0,0,0,0.085,0.531,0,0.235,0.643
AARS2,ANAPC1,9606.ENSP00000244571,9606.ENSP00000339109,0,0,0,0,0.105,0.528,0,0.25,0.655
AARS2,RPA1,9606.ENSP00000244571,9606.ENSP00000254719,0,0,0,0,0.077,0.061,0,0.642,0.662
AARS2,FARSB,9606.ENSP00000244571,9606.ENSP00000281828,0.053,0,0,0,0.389,0.256,0,0.348,0.682
AARS2,NTPCR,9606.ENSP00000244571,9606.ENSP00000355587,0.044,0,0,0,0.053,0,0,0.701,0.705
AARS2,TARS2,9606.ENSP00000244571,9606.ENSP00000358060,0,0,0,0,0.309,0,0,0.77,0.834
AARS2,LARS,9606.ENSP00000244571,9606.ENSP00000377954,0.135,0,0,0,0.659,0,0,0.552,0.856
AARS2,VARS,9606.ENSP00000244571,9606.ENSP00000364815,0.187,0,0,0,0.362,0,0,0.75,0.859
AARS2,IARS,9606.ENSP00000244571,9606.ENSP00000364794,0.077,0,0,0,0.471,0,0,0.767,0.876
AARS2,DARS2,9606.ENSP00000244571,9606.ENSP00000355086,0.185,0,0.219,0,0.184,0,0,0.792,0.877
AARS2,NARS,9606.ENSP00000244571,9606.ENSP00000256854,0.083,0,0,0,0.627,0.161,0,0.65,0.886
AARS2,MARS,9606.ENSP00000244571,9606.ENSP00000262027,0.195,0,0,0,0.659,0,0,0.652,0.896
AARS2,LARS2,9606.ENSP00000244571,9606.ENSP00000408576,0.135,0,0,0,0.27,0,0,0.855,0.9
AARS2,GARS,9606.ENSP00000244571,9606.ENSP00000373918,0.111,0,0,0,0.371,0,0,0.846,0.906
AASS,OTC,9606.ENSP00000377040,9606.ENSP00000039007,0,0,0,0,0.146,0,0,0.547,0.596
AASS,MRPL4,9606.ENSP00000377040,9606.ENSP00000253099,0,0,0,0,0.461,0,0,0,0.461
AASS,SDS,9606.ENSP00000377040,9606.ENSP00000257549,0.077,0,0,0,0.109,0,0,0.536,0.585
AASS,HAL,9606.ENSP00000377040,9606.ENSP00000261208,0,0,0,0,0.062,0,0,0.56,0.569
AASS,HGD,9606.ENSP00000377040,9606.ENSP00000283871,0,0,0,0,0.167,0,0,0.48,0.549
AASS,ASL,9606.ENSP00000377040,9606.ENSP00000307188,0,0,0,0,0.194,0,0,0.359,0.461
AASS,GLS2,9606.ENSP00000377040,9606.ENSP00000310447,0,0,0,0,0.063,0,0,0.422,0.436
AASS,PHYKPL,9606.ENSP00000377040,9606.ENSP00000310978,0.167,0,0,0,0.087,0,0.9,0.402,0.948
AASS,PIPOX,9606.ENSP00000377040,9606.ENSP00000317721,0.13,0,0,0,0.108,0,0,0.567,0.634
AASS,BCAT2,9606.ENSP00000377040,9606.ENSP00000322991,0,0,0,0,0.081,0,0,0.413,0.437
AASS,AFMID,9606.ENSP00000377040,9606.ENSP00000328938,0,0,0,0,0.062,0,0,0.507,0.518
AASS,TAT,9606.ENSP00000377040,9606.ENSP00000348234,0.069,0,0,0,0.08,0,0,0.355,0.4
AASS,ARG1,9606.ENSP00000377040,9606.ENSP00000349446,0.185,0,0,0,0.065,0,0,0.472,0.563
AASS,OAT,9606.ENSP00000377040,9606.ENSP00000357838,0.06,0,0,0,0.183,0.121,0,0.408,0.547
AASS,ALDH18A1,9606.ENSP00000377040,9606.ENSP00000360268,0,0,0,0,0.089,0,0,0.707,0.722
AASS,ASS1,9606.ENSP00000377040,9606.ENSP00000361471,0.043,0,0,0,0.359,0,0,0.492,0.661
AASS,GNMT,9606.ENSP00000377040,9606.ENSP00000361894,0,0,0,0,0.097,0,0,0.365,0.402
AASS,SRM,9606.ENSP00000377040,9606.ENSP00000366156,0.219,0.463,0,0,0.145,0,0,0.441,0.772
AASS,ATXN2,9606.ENSP00000377040,9606.ENSP00000366843,0,0,0,0,0,0,0,0.483,0.483
AASS,DNAJC2,9606.ENSP00000377040,9606.ENSP00000368565,0,0,0,0,0.6,0,0,0,0.6
AASS,PFKP,9606.ENSP00000377040,9606.ENSP00000370517,0.075,0,0,0,0.082,0,0,0.375,0.423
AASS,UROC1,9606.ENSP00000377040,9606.ENSP00000373073,0,0,0,0,0.063,0,0,0.42,0.433
AASS,CPS1,9606.ENSP00000377040,9606.ENSP00000402608,0,0,0,0,0.166,0,0,0.331,0.418
AASS,CALU,9606.ENSP00000377040,9606.ENSP00000438248,0,0,0,0,0,0,0,0.512,0.512
AASS,SELENBP1,9606.ENSP00000377040,9606.ENSP00000397261,0,0,0,0,0.063,0,0,0.544,0.554
AASS,GTF2F1,9606.ENSP00000377040,9606.ENSP00000377969,0,0.582,0,0,0,0,0,0,0.582
AASS,TRMT112,9606.ENSP00000377040,9606.ENSP00000438349,0,0,0,0,0,0.397,0,0.46,0.66
ABAT,DAO,9606.ENSP00000379845,9606.ENSP00000228476,0.073,0,0,0,0.184,0,0,0.45,0.548
ABAT,AGXT2,9606.ENSP00000379845,9606.ENSP00000231420,0,0,0,0.582,0.085,0.788,0.9,0.625,0.984
ABAT,EHHADH,9606.ENSP00000379845,9606.ENSP00000231887,0,0,0,0,0.062,0.101,0.9,0.261,0.929
ABAT,PLBD1,9606.ENSP00000379845,9606.ENSP00000240617,0,0,0,0,0.063,0.526,0,0.496,0.756
ABAT,CAT,9606.ENSP00000379845,9606.ENSP00000241052,0,0,0,0,0.082,0.67,0,0.076,0.695
ABAT,ACADS,9606.ENSP00000379845,9606.ENSP00000242592,0.041,0,0,0,0,0,0.8,0.23,0.839
ABAT,GOT2,9606.ENSP00000379845,9606.ENSP00000245206,0,0,0,0,0.062,0.76,0,0.257,0.818
ABAT,ACSS2,9606.ENSP00000379845,9606.ENSP00000253382,0,0,0,0,0.096,0,0.8,0.107,0.824
ABAT,FABP4,9606.ENSP00000379845,9606.ENSP00000256104,0,0,0,0,0.062,0.524,0,0,0.534
ABAT,ALDH2,9606.ENSP00000379845,9606.ENSP00000261733,0.053,0,0,0,0.11,0.562,0.9,0.235,0.966
ABAT,PTPN23,9606.ENSP00000379845,9606.ENSP00000265562,0,0,0,0,0.064,0.568,0,0,0.578
ABAT,ALDH8A1,9606.ENSP00000379845,9606.ENSP00000265605,0.053,0,0,0,0.11,0.328,0,0.187,0.477
ABAT,SORD,9606.ENSP00000379845,9606.ENSP00000267814,0.16,0,0,0,0.063,0.679,0,0.195,0.769
ABAT,GLUD1,9606.ENSP00000379845,9606.ENSP00000277865,0.104,0,0,0,0.053,0,0,0.545,0.58
ABAT,PLBD2,9606.ENSP00000379845,9606.ENSP00000280800,0,0,0,0,0.063,0.67,0,0.19,0.727
ABAT,FTCD,9606.ENSP00000379845,9606.ENSP00000291670,0.048,0,0,0,0.108,0,0,0.398,0.444
ABAT,FABP5,9606.ENSP00000379845,9606.ENSP00000297258,0,0,0,0,0.063,0.677,0,0.043,0.685
ABAT,DCXR,9606.ENSP00000379845,9606.ENSP00000303356,0,0,0,0,0.069,0.76,0,0,0.767
ABAT,ASL,9606.ENSP00000379845,9606.ENSP00000307188,0,0,0,0,0.062,0,0,0.448,0.46
ABAT,MRPL38,9606.ENSP00000379845,9606.ENSP00000308275,0,0,0,0,0.148,0.378,0,0.059,0.457
ABAT,AOC3,9606.ENSP00000379845,9606.ENSP00000312326,0.046,0,0,0,0.063,0,0,0.446,0.461
ABAT,GRHPR,9606.ENSP00000379845,9606.ENSP00000313432,0.078,0,0,0,0.1,0,0,0.342,0.406
ABAT,MSRA,9606.ENSP00000379845,9606.ENSP00000313921,0,0,0,0,0.062,0.732,0,0.112,0.757
ABAT,ACSS1,9606.ENSP00000379845,9606.ENSP00000316924,0,0,0,0,0.096,0,0.8,0.107,0.824
ABAT,UPB1,9606.ENSP00000379845,9606.ENSP00000324343,0.07,0,0,0,0.092,0,0.9,0.39,0.941
ABAT,GLUD2,9606.ENSP00000379845,9606.ENSP00000327589,0.104,0,0,0,0.053,0,0,0.613,0.643
ABAT,NPEPL1,9606.ENSP00000379845,9606.ENSP00000348395,0,0,0,0,0.061,0.562,0,0,0.571
ABAT,OAT,9606.ENSP00000379845,9606.ENSP00000357838,0.055,0,0,0.581,0.134,0,0,0.728,0.402
ABAT,ACADSB,9606.ENSP00000379845,9606.ENSP00000357873,0.041,0,0,0,0,0,0,0.421,0.421
ABAT,PHGDH,9606.ENSP00000379845,9606.ENSP00000358417,0.076,0,0,0,0.048,0.788,0,0.153,0.821
ABAT,DBT,9606.ENSP00000379845,9606.ENSP00000359151,0,0,0,0,0.062,0,0.8,0.138,0.824
ABAT,PGM1,9606.ENSP00000379845,9606.ENSP00000360124,0,0,0,0,0.123,0.745,0,0.085,0.778
ABAT,SCP2,9606.ENSP00000379845,9606.ENSP00000360569,0,0,0,0,0.126,0,0,0.433,0.484
ABAT,ASS1,9606.ENSP00000379845,9606.ENSP00000361471,0,0,0,0,0.064,0,0,0.493,0.505
ABAT,OGDHL,9606.ENSP00000379845,9606.ENSP00000363216,0,0,0,0,0.084,0,0,0.69,0.704
ABAT,AOX1,9606.ENSP00000379845,9606.ENSP00000363832,0,0,0,0,0.063,0,0.9,0.107,0.909
ABAT,ALDOB,9606.ENSP00000379845,9606.ENSP00000363988,0,0,0,0,0.064,0,0,0.41,0.424
ABAT,ALDH4A1,9606.ENSP00000379845,9606.ENSP00000364490,0.053,0,0,0,0.11,0.2,0,0.361,0.511
ABAT,PCCA,9606.ENSP00000379845,9606.ENSP00000365462,0,0,0,0,0.063,0,0.8,0.25,0.847
ABAT,ALDH1B1,9606.ENSP00000379845,9606.ENSP00000366927,0.053,0,0,0,0.11,0.562,0.9,0.315,0.97
ABAT,GPT,9606.ENSP00000379845,9606.ENSP00000378408,0,0,0,0,0.062,0.726,0,0.365,0.822
ABAT,ACSF3,9606.ENSP00000379845,9606.ENSP00000479130,0.048,0,0,0,0.073,0,0,0.44,0.463
ABAT,HADH,9606.ENSP00000379845,9606.ENSP00000474560,0,0,0,0,0.062,0,0,0.485,0.496
ABAT,HAGH,9606.ENSP00000379845,9606.ENSP00000380514,0,0,0,0,0.062,0,0,0.52,0.531
ABAT,FAH,9606.ENSP00000379845,9606.ENSP00000385080,0,0,0,0,0.063,0.68,0,0.049,0.69
ABAT,ACSS3,9606.ENSP00000379845,9606.ENSP00000449535,0,0,0,0,0.096,0,0.8,0.101,0.823
ABAT,ALDH6A1,9606.ENSP00000379845,9606.ENSP00000450436,0,0,0,0,0.185,0,0.9,0.578,0.962
ABCB1,CYP4F2,9606.ENSP00000478255,9606.ENSP00000221700,0,0,0,0,0.082,0,0,0.445,0.469
ABCB1,PON1,9606.ENSP00000478255,9606.ENSP00000222381,0,0,0,0,0.063,0,0,0.51,0.521
ABCB1,ABCF2,9606.ENSP00000478255,9606.ENSP00000222388,0,0,0,0,0.062,0,0,0.75,0.755
ABCB1,CYP3A5,9606.ENSP00000478255,9606.ENSP00000222982,0,0,0,0,0.063,0,0,0.883,0.885
ABCB1,NR3C1,9606.ENSP00000478255,9606.ENSP00000231509,0,0,0,0,0,0.056,0,0.391,0.4
ABCB1,MRPS7,9606.ENSP00000478255,9606.ENSP00000245539,0,0,0,0,0.062,0,0,0.82,0.824
ABCB1,APOE,9606.ENSP00000478255,9606.ENSP00000252486,0,0,0,0,0.062,0,0,0.391,0.404
ABCB1,HIP1R,9606.ENSP00000478255,9606.ENSP00000253083,0,0,0,0,0.043,0,0,0.5,0.501
ABCB1,RPA1,9606.ENSP00000478255,9606.ENSP00000254719,0,0,0,0,0.065,0,0.9,0.048,0.903
ABCB1,SLCO1B1,9606.ENSP00000478255,9606.ENSP00000256958,0,0,0,0,0.062,0,0,0.806,0.811
ABCB1,GGH,9606.ENSP00000478255,9606.ENSP00000260118,0,0,0,0,0,0,0,0.432,0.432
ABCB1,CYP2C9,9606.ENSP00000478255,9606.ENSP00000260682,0,0,0,0,0.062,0,0,0.713,0.719
ABCB1,SLCO1B3,9606.ENSP00000478255,9606.ENSP00000261196,0,0,0,0,0.062,0,0,0.714,0.72
ABCB1,MAPK3,9606.ENSP00000478255,9606.ENSP00000263025,0,0,0,0,0.062,0.063,0,0.415,0.441
ABCB1,TJP1,9606.ENSP00000478255,9606.ENSP00000281537,0,0,0,0,0.06,0,0,0.439,0.45
ABCB1,SLCO2B1,9606.ENSP00000478255,9606.ENSP00000289575,0,0,0,0,0.091,0,0,0.668,0.685
ABCB1,CYP2A6,9606.ENSP00000478255,9606.ENSP00000301141,0,0,0,0,0.062,0,0,0.524,0.534
ABCB1,CYP7A1,9606.ENSP00000478255,9606.ENSP00000301645,0,0,0,0,0.073,0,0,0.416,0.436
ABCB1,HSPA4,9606.ENSP00000478255,9606.ENSP00000302961,0,0,0,0,0.062,0.056,0,0.439,0.46
ABCB1,UGT1A6,9606.ENSP00000478255,9606.ENSP00000303174,0,0,0,0,0.062,0,0,0.689,0.696
ABCB1,UGT2B7,9606.ENSP00000478255,9606.ENSP00000304811,0,0,0,0,0.063,0,0,0.681,0.688
ABCB1,CASP3,9606.ENSP00000478255,9606.ENSP00000311032,0,0,0,0,0,0,0,0.566,0.566
ABCB1,CYP2B6,9606.ENSP00000478255,9606.ENSP00000324648,0,0,0,0,0.062,0,0,0.713,0.719
ABCB1,CYP3A4,9606.ENSP00000478255,9606.ENSP00000337915,0,0,0,0,0.083,0,0,0.962,0.964
ABCB1,CYP1A2,9606.ENSP00000478255,9606.ENSP00000342007,0,0,0,0,0,0,0,0.64,0.64
ABCB1,ANXA2,9606.ENSP00000478255,9606.ENSP00000346032,0,0,0,0,0,0,0,0.478,0.479
ABCB1,UGT1A9,9606.ENSP00000478255,9606.ENSP00000346768,0,0,0,0,0.062,0,0,0.525,0.535
ABCB1,FN1,9606.ENSP00000478255,9606.ENSP00000346839,0,0,0,0,0.062,0,0,0.477,0.489
ABCB1,HTT,9606.ENSP00000478255,9606.ENSP00000347184,0,0,0,0,0,0,0,0.43,0.43
ABCB1,OCLN,9606.ENSP00000478255,9606.ENSP00000347379,0,0,0,0,0.062,0,0,0.73,0.736
ABCB1,ATP2B4,9606.ENSP00000478255,9606.ENSP00000350310,0,0,0,0,0.052,0.063,0,0.594,0.608
ABCB1,ATP2B2,9606.ENSP00000478255,9606.ENSP00000353414,0,0,0,0,0.052,0.063,0,0.586,0.6
ABCB1,CES1,9606.ENSP00000478255,9606.ENSP00000353720,0,0,0,0,0.051,0,0,0.4,0.406
ABCB1,CYP2D6,9606.ENSP00000478255,9606.ENSP00000353820,0,0,0,0,0.062,0,0,0.742,0.748
ABCB1,COMT,9606.ENSP00000478255,9606.ENSP00000354511,0.049,0,0,0,0,0,0,0.602,0.606
ABCB1,TOP1,9606.ENSP00000478255,9606.ENSP00000354522,0,0,0,0,0.062,0.059,0,0.518,0.537
ABCB1,MTOR,9606.ENSP00000478255,9606.ENSP00000354558,0,0,0,0,0.062,0.056,0,0.45,0.471
ABCB1,SLC22A1,9606.ENSP00000478255,9606.ENSP00000355930,0,0.002,0,0,0.049,0.059,0,0.7,0.708
