"DrugID","Indication"
"D00AXG","Non-insulin dependent diabetes [ICD-11: 5A11] Investigative"
"D00AXJ","Fungal infection [ICD-11: 1F29-1F2F] Approved"
"D00AXT","Solid tumour/cancer [ICD-11: 2A00-2F9Z] Investigative"
"D00AXZ","Diabetic angiopathy [ICD-11: BD53.Y] Investigative"
"D00AYA","Solid tumour/cancer [ICD-11: 2A00-2F9Z] Phase 2"
"D00AYW","Type-2 diabetes [ICD-11: 5A11] Phase 1"
"D00BBB","Hypertension [ICD-11: BA00-BA04] Investigative"
"D00BCG","Breast cancer [ICD-11: 2C60-2C65] Approved"
"D00BCP","Non-insulin dependent diabetes [ICD-11: 5A11] Approved"
"D00BCS","Panic disorder [ICD-11: 6B01] Investigative"
"D00BCZ","Reperfusion injury [ICD-11: ND56.Z] Investigative"
"D00BDC","Otitis media [ICD-11: AA80-AB0Z] Approved"
"D00BHL","Ovarian cancer [ICD-11: 2C73] Phase 3"
"D00BIY","Hypertension [ICD-11: BA00-BA04] Discontinued in Phase 1"
"D00BJV","Solid tumour/cancer [ICD-11: 2A00-2F9Z] Phase 1/2"
"D00BKV","Type-2 diabetes [ICD-11: 5A11] Discontinued in Phase 1"
"D00BLL","Overactive bladder [ICD-11: GC50.0] Approved"
"D00BLS","Plaque psoriasis [ICD-11: EA90.0] Phase 1"
"D00BMF","Ovarian cancer [ICD-11: 2C73] Phase 3"
"D00BMF","Breast cancer [ICD-11: 2C60-2C65] Phase 2"
"D00BMF","Ewing sarcoma [ICD-11: 2B52] Phase 1"
"D00BMM","Solid tumour/cancer [ICD-11: 2A00-2F9Z] Investigative"
"D00BND","Cluster headache [ICD-11: 8A81.0] Phase 1"
"D00BND","Migraine [ICD-11: 8A80] Phase 1"
"D00BOY","Non-hodgkin lymphoma [ICD-11: 2B33.5] Phase 2"
"D00BPE","Breast cancer [ICD-11: 2C60-2C65] Discontinued in Phase 2"
"D00BPH","Psoriasis vulgaris [ICD-11: EA90] Phase 1/2a"
"D00BTW","Human immunodeficiency virus infection [ICD-11: 1C62] Phase 1"
"D00BTZ","Cognitive impairment [ICD-11: 6D71] Investigative"
"D00BUO","Solid tumour/cancer [ICD-11: 2A00-2F9Z] Phase 2"
"D00BUO","Pancreatic cancer [ICD-11: 2C10] Phase 2"
"D00BUR","Alzheimer disease [ICD-11: 8A20] Phase 2"
"D00BUR","Constitutional neutropenia [ICD-11: 4B00.0] Discontinued in Phase 2"
"D00BVB","Neisseria meningitis infection [ICD-11: 1C1C.0] Phase 3"
"D00BVF","Osteoarthritis [ICD-11: FA00-FA05] Discontinued in Phase 3"
"D00BVJ","Solid tumour/cancer [ICD-11: 2A00-2F9Z] Phase 1"
"D00BVS","Neuropathic pain [ICD-11: 8E43.0] Phase 3"
"D00BVS","Chronic low back pain [ICD-11: MG30.02] Phase 3"
"D00BVS","Pain [ICD-11: MG30-MG3Z] Phase 3"
"D00BVS","Osteoarthritis [ICD-11: FA00-FA05] Phase 3"
"D00BVS","Cancer related pain [ICD-11: MG30] Phase 3"
"D00BWF","Fibromyalgia [ICD-11: MG30.01] Phase 2"
"D00BWF","Diabetic nephropathy [ICD-11: GB61.Z] Phase 2"
"D00BXK","Obesity [ICD-11: 5B81] Patented"
"D00BXZ","Solid tumour/cancer [ICD-11: 2A00-2F9Z] Investigative"
"D00BYM","Acute myeloid leukaemia [ICD-11: 2A60] Phase 3"
"D00BZJ","Meningitis [ICD-11: 1D01] Approved"
"D00BZO","Syndrome X [ICD-11: 5C53.4] Investigative"
"D00BZS","Breast cancer [ICD-11: 2C60-2C65] Phase 2"
"D00BZZ","Type-2 diabetes [ICD-11: 5A11] Phase 1"
"D00CBP","Hepatitis B virus infection [ICD-11: 1E51.0] Phase 3"
"D00CBY","Interstitial cystitis [ICD-11: GC00.3] Investigative"
"D00CCI","Inflammation [ICD-11: 1A00-CA43.1] Withdrawn from market"
"D00CED","Solid tumour/cancer [ICD-11: 2A00-2F9Z] Investigative"
"D00CEE","Bordetella pertussis infection [ICD-11: 1C12.0] Approved"
"D00CEG","Allergy [ICD-11: 4A80-4A85] Terminated"
"D00CEI","Poison intoxication [ICD-11: NE6Z] Preclinical"
"D00CFB","Melanoma [ICD-11: 2C30] Discontinued in Phase 2"
"D00CFU","Schizophrenia [ICD-11: 6A20] Investigative"
"D00CGH","Prostate disease [ICD-11: GA91] Phase 1"
"D00CGU","Inflammatory bowel disease [ICD-11: DD72] Discontinued in Phase 1"
"D00CGX","Autoimmune disease [ICD-11: 4A40-4A45] Phase 1"
"D00CGX","Systemic lupus erythematosus [ICD-11: 4A40.0] Discontinued in Phase 1"
"D00CIF","Thrombosis [ICD-11: DB61-GB90] Discontinued in Phase 1"
"D00CIT","Cytomegalovirus infection [ICD-11: 1D82] Discontinued in Preregistration"
"D00CLC","Cardiovascular disease [ICD-11: BA00-BE2Z] Phase 1"
"D00CLM","Thrombocytopenia [ICD-11: 3B64] Phase 1"
"D00CMA","Pain [ICD-11: MG30-MG3Z] Investigative"
"D00CMC","Solid tumour/cancer [ICD-11: 2A00-2F9Z] Investigative"
"D00CMV","Chronic pain [ICD-11: MG30] Phase 1"
"D00COH","Crohn disease [ICD-11: DD70] Patented"
"D00COH","Ulcerative colitis [ICD-11: DD71] Patented"
"D00COH","Urinary tract infection [ICD-11: GC08] Patented"
"D00COJ","Hypercholesterolaemia [ICD-11: 5C80.0] Phase 3"
"D00CPQ","Pulmonary arterial hypertension [ICD-11: BB01.0] Phase 2"
"D00CQI","Multiple myeloma [ICD-11: 2A83] Phase 2"
"D00CQL","Influenza virus infection [ICD-11: 1E30-1E32] Phase 1"
"D00CQQ","Hypoactive sexual desire dysfunction [ICD-11: HA00] Phase 2"
"D00CQW","Solid tumour/cancer [ICD-11: 2A00-2F9Z] Discontinued in Phase 2"
"D00CRQ","Solid tumour/cancer [ICD-11: 2A00-2F9Z] Patented"
"D00CRQ","Infectious disease [ICD-11: 1A00-CA43.1] Patented"
"D00CRQ","Human immunodeficiency virus infection [ICD-11: 1C62] Patented"
"D00CRQ","Hepatitis [ICD-11: DB97.Z] Patented"
"D00CSA","Hypertension [ICD-11: BA00-BA04] Phase 2"
"D00CSQ","Malaria [ICD-11: 1F40-1F45] Approved"
"D00CSQ","Trypanosomiasis [ICD-11: 1D51-1F53] Investigative"
"D00CSQ","Infection of P. falciparum [ICD-11: 1F40] Investigative"
"D00CTS","Chronic idiopathic constipation [ICD-11: DC32] Approved"
"D00CTZ","Asthma [ICD-11: CA23] Phase 2"
"D00CVJ","Insomnia [ICD-11: 7A00-7A0Z] Phase 2"
"D00CVJ","Alzheimer disease [ICD-11: 8A20] Phase 2"
"D00CVJ","Dementia [ICD-11: 6D80-6D86] Phase 2"
"D00CVT","Overactive bladder [ICD-11: GC50.0] Discontinued in Phase 1"
"D00CZT","Alzheimer disease [ICD-11: 8A20] Phase 3"
"D00DAE","Glioblastoma multiforme [ICD-11: 2A00.0] Phase 2"
"D00DAU","Autoimmune diabetes [ICD-11: 5A10] Terminated"
"D00DBE","Asthma [ICD-11: CA23] Discontinued in Phase 2"
"D00DBH","Epilepsy [ICD-11: 8A60-8A68] Discontinued in Phase 2"
"D00DBO","Insomnia [ICD-11: 7A00-7A0Z] Phase 1/2"
"D00DBU","Staphylococcus infection [ICD-11: 1B5Y] Discontinued in Phase 2"
"D00DCY","Oral cancer [ICD-11: 2B6E] Approved"
"D00DDR","Multiple myeloma [ICD-11: 2A83] Investigative"
"D00DEF","Attention deficit hyperactivity disorder [ICD-11: 6A05.Z] Approved"
"D00DFP","Hypertension [ICD-11: BA00-BA04] Phase 1/2"
"D00DHM","Psychotic disorder [ICD-11: 6A20-6A25] Investigative"
"D00DHT","Artery stenosis [ICD-11: BD52] Investigative"
"D00DIB","Acute myeloid leukaemia [ICD-11: 2A60] Phase 1"
"D00DIM","Cardiovascular disease [ICD-11: BA00-BE2Z] Phase 1"
"D00DJC","Solid tumour/cancer [ICD-11: 2A00-2F9Z] Investigative"
"D00DKK","Acne vulgaris [ICD-11: ED80] Approved"
"D00DPJ","Hypotension [ICD-11: BA20-BA21] Approved"
"D00DPP","Solid tumour/cancer [ICD-11: 2A00-2F9Z] Phase 2"
"D00DQX","Non-small-cell lung cancer [ICD-11: 2C25.Y] Discontinued in Phase 3"
"D00DRA","Gastrointestinal cancer [ICD-11: 2C11] Investigative"
"D00DRL","Alzheimer disease [ICD-11: 8A20] Phase 1/2"
"D00DSD","Cerebrovascular ischaemia [ICD-11: 8B1Z] Terminated"
"D00DSG","Inflammation [ICD-11: 1A00-CA43.1] Investigative"
"D00DSN","Sepsis [ICD-11: 1G40-1G41] Investigative"
"D00DSV","Melanoma [ICD-11: 2C30] Phase 2"
"D00DTP","Pharyngitis [ICD-11: CA02.Z] Investigative"
"D00DXC","Cell proliferative disorder [ICD-11: FB86] Patented"
"D00DXH","Solid tumour/cancer [ICD-11: 2A00-2F9Z] Phase 1"
"D00DYI","Albinism [ICD-11: EC23.2] Patented"
"D00DYI","Ephelides [ICD-11: ED61.0] Patented"
"D00DYI","Menkes disease [ICD-11: 5C64.0] Patented"
"D00DYI","Senile lentigines [ICD-11: ED61.0] Patented"
"D00DYI","Melasma [ICD-11: ED60.1] Patented"
"D00DYK","Psoriasis vulgaris [ICD-11: EA90] Phase 2"
"D00DYN","Botulism [ICD-11: 1A11] Phase 1"
"D00DZN","Psychiatric disorder [ICD-11: 6E8Z] Approved"
"D00EBH","Anxiety disorder [ICD-11: 6B00-6B0Z] Discontinued in Phase 2"
"D00ECB","Hypertension [ICD-11: BA00-BA04] Discontinued in Phase 2"
"D00ECO","Alzheimer disease [ICD-11: 8A20] Discontinued in Phase 2"
"D00EEL","Insomnia [ICD-11: 7A00-7A0Z] Approved"
"D00EEP","Helicobacter infection [ICD-11: DA42-DA63] Discontinued in Phase 1"
"D00EFD","Anxiety disorder [ICD-11: 6B00-6B0Z] Investigative"
"D00EFO","Hepatitis C virus infection [ICD-11: 1E51.1] Phase 2"
"D00EGN","Asthma [ICD-11: CA23] Phase 2"
"D00EGU","Nerve injury [ICD-11: ND56.4] Phase 1"
"D00EGV","Albinism [ICD-11: EC23.2] Patented"
"D00EGV","Ephelides [ICD-11: ED61.0] Patented"
"D00EGV","Menkes disease [ICD-11: 5C64.0] Patented"
"D00EGV","Senile lentigines [ICD-11: ED61.0] Patented"
"D00EGV","Melasma [ICD-11: ED60.1] Patented"
"D00EHX","Alzheimer disease [ICD-11: 8A20] Phase 1"
"D00EIB","Sepsis [ICD-11: 1G40-1G41] Approved"
"D00EIB","Congestive heart failure [ICD-11: BD10] Approved"
"D00EIB","Atrial fibrillation [ICD-11: BC81.3] Approved"
"D00EIL","Solid tumour/cancer [ICD-11: 2A00-2F9Z] Investigative"
"D00EJP","Cough [ICD-11: MD12] Phase 2"
"D00EKM","Human immunodeficiency virus infection [ICD-11: 1C62] Investigative"
"D00EMB","Influenza virus infection [ICD-11: 1E30-1E32] Phase 2"
"D00EML","Coxiella infection [ICD-11: 1C33] Terminated"
"D00ENU","Autoimmune diabetes [ICD-11: 5A10] Investigative"
"D00ENY","Schizophrenia [ICD-11: 6A20] Approved"
"D00EPS","Reperfusion injury [ICD-11: ND56.Z] Clinical trial"
"D00EPS","Myocardial ischemia [ICD-11: BA6Z] Clinical trial"
"D00EPT","Solid tumour/cancer [ICD-11: 2A00-2F9Z] Phase 2"
"D00EQD","Cerebrovascular ischaemia [ICD-11: 8B1Z] Investigative"
"D00EQL","Follicular lymphoma [ICD-11: 2A80] Approved"
"D00EQL","Malignant rhabdoid tumour [ICD-11: 2A00.1Y] Phase 2"
"D00EQL","Brain and central nervous system tumour [ICD-11: 2A00.11] Phase 2"
"D00EQL","Mesothelioma [ICD-11: 2C51.2] Phase 2"
"D00EQL","Solid tumour/cancer [ICD-11: 2A00-2F9Z] Phase 2"
"D00EQL","Diffuse large B-cell lymphoma [ICD-11: 2A81] Phase 1/2"
"D00EQL","Synovial sarcoma [ICD-11: 2B5A] Phase 1"
"D00EQY","Solid tumour/cancer [ICD-11: 2A00-2F9Z] Phase 1"
"D00ERV","Asthma [ICD-11: CA23] Phase 2"
"D00ERV","Hypertension [ICD-11: BA00-BA04] Discontinued in Phase 1"
"D00ESH","Liver cancer [ICD-11: 2C12] Phase 1/2"
"D00ETS","Anaesthesia [ICD-11: 9A78.6] Approved"
"D00EUL","Pruritus [ICD-11: EC90] Patented"
"D00EUL","Solid tumour/cancer [ICD-11: 2A00-2F9Z] Patented"
"D00EUL","Chronic pain [ICD-11: MG30] Patented"
"D00EUL","Neuropathic pain [ICD-11: 8E43.0] Patented"
"D00EUL","Thymic cancer [ICD-11: 2C27] Patented"
"D00EVP","Ocular hypertension [ICD-11: 9C61.01] Phase 2"
"D00EWR","Diabetic complication [ICD-11: 5A2Y] Phase 3"
"D00EXZ","Solid tumour/cancer [ICD-11: 2A00-2F9Z] Phase 1"
"D00EYC","Hemophilia [ICD-11: 3B10.0] Phase 1"
"D00EYF","Diabetic complication [ICD-11: 5A2Y] Investigative"
"D00EZE","Psychotic disorder [ICD-11: 6A20-6A25] Discontinued in Phase 2"
"D00EZO","Mood disorder [ICD-11: 6A60-6E23] Phase 1"
"D00FAW","Vomiting [ICD-11: MD90] Investigative"
"D00FBC","Neuropathic pain [ICD-11: 8E43.0] Phase 2"
"D00FBM","Solid tumour/cancer [ICD-11: 2A00-2F9Z] Discontinued in Phase 2"
"D00FCW","Cardiovascular disease [ICD-11: BA00-BE2Z] Discontinued in Preregistration"
"D00FDD","Insomnia [ICD-11: 7A00-7A0Z] Phase 1"
"D00FEA","Human immunodeficiency virus-1 infection [ICD-11: 1C62] Investigative"
"D00FGO","Multiple myeloma [ICD-11: 2A83] Approved"
"D00FGO","Intrahepatic cholangiocarcinoma [ICD-11: 2C12.10] Phase 3"
"D00FGR","Leishmaniasis [ICD-11: 1F54] Approved"
"D00FGR","Visceral leishmaniasis [ICD-11: 1F54.0] Phase 2"
"D00FGV","Vasomotor/allergic rhinitis [ICD-11: CA08] Approved"
"D00FGW","Anthrax [ICD-11: 1B97] Phase 1"
"D00FGY","Rheumatoid arthritis [ICD-11: FA20] Discontinued in Phase 1"
"D00FHI","Hypertension [ICD-11: BA00-BA04] Discontinued in Phase 2"
"D00FHR","Solid tumour/cancer [ICD-11: 2A00-2F9Z] Phase 2"
"D00FHR","Non-small-cell lung cancer [ICD-11: 2C25.Y] Phase 2"
"D00FHR","Diffuse large B-cell lymphoma [ICD-11: 2A81] Phase 1/2"
"D00FHR","Melanoma [ICD-11: 2C30] Phase 1"
"D00FIO","leukaemia [ICD-11: 2A60-2B33] Phase 1/2"
"D00FIO","Lymphoma [ICD-11: 2A80-2A86] Phase 1/2"
"D00FIV","Autoimmune diabetes [ICD-11: 5A10] Investigative"
"D00FIX","Fabry disease [ICD-11: 5C56.01] Approved"
"D00FJC","Pain [ICD-11: MG30-MG3Z] Discontinued in Phase 2"
"D00FJH","Pruritus [ICD-11: EC90] Patented"
"D00FJH","Solid tumour/cancer [ICD-11: 2A00-2F9Z] Patented"
"D00FJH","Chronic pain [ICD-11: MG30] Patented"
"D00FJH","Neuropathic pain [ICD-11: 8E43.0] Patented"
"D00FJH","Thymic cancer [ICD-11: 2C27] Patented"
"D00FJQ","Type-2 diabetes [ICD-11: 5A11] Phase 2"
"D00FJS","Human immunodeficiency virus infection [ICD-11: 1C62] Terminated"
"D00FMK","Actinic keratosis [ICD-11: EK90.0] Phase 1"
"D00FMQ","Inflammation [ICD-11: 1A00-CA43.1] Investigative"
"D00FMV","Burn and burn infection [ICD-11: ND90-NE2Z] Discontinued in Phase 2"
"D00FMW","Diarrhea [ICD-11: ME05.1] Phase 2"
"D00FOR","Parkinson disease [ICD-11: 8A00.0] Investigative"
"D00FQP","Diarrhea [ICD-11: ME05.1] Discontinued in Phase 2"
"D00FRX","leukaemia [ICD-11: 2A60-2B33] Investigative"
"D00FRY","Herpes simplex virus infection [ICD-11: 1F00] Terminated"
"D00FSB","Pain [ICD-11: MG30-MG3Z] Phase 1"
"D00FSS","Epilepsy [ICD-11: 8A60-8A68] Terminated"
"D00FSV","Bleeding disorder [ICD-11: GA20-GA21] Approved"
"D00FSV","Vitamin K deficiency [ICD-11: 5B59] Approved"
"D00FUD","Contraception [ICD-11: QA21] Investigative"
"D00FWB","Hypertension [ICD-11: BA00-BA04] Terminated"
"D00FXQ","Neuropathic pain [ICD-11: 8E43.0] Investigative"
"D00FYF","Type-2 diabetes [ICD-11: 5A11] Discontinued in Phase 2"
"D00FYP","Cytomegalovirus infection [ICD-11: 1D82] Terminated"
"D00FZA","Solid tumour/cancer [ICD-11: 2A00-2F9Z] Investigative"
"D00FZH","Coronavirus Disease 2019 (COVID-19) [ICD-11: 1D6Y] Phase 1"
"D00FZZ","Type-2 diabetes [ICD-11: 5A11] Phase 2"
"D00GAM","leukaemia [ICD-11: 2A60-2B33] Phase 1/2"
"D00GAV","Bacterial infection [ICD-11: 1A00-1C4Z] Terminated"
"D00GBG","Respiratory syncytial virus infection [ICD-11: 1C80] Approved"
"D00GBZ","Familial adenomatous polyposis [ICD-11: 2B90.Y] Phase 1/2"
"D00GCA","Excessive daytime sleepiness [ICD-11: MG42] Phase 1"
"D00GDN","Chronic obstructive pulmonary disease [ICD-11: CA22] Terminated"
"D00GEG","Neuropathic pain [ICD-11: 8E43.0] Phase 3"
"D00GES","Diabetic complication [ICD-11: 5A2Y] Preclinical"
"D00GES","Obesity [ICD-11: 5B81] Preclinical"
"D00GFU","Autoimmune diabetes [ICD-11: 5A10] Investigative"
"D00GFV","Immune System disease [ICD-11: 4A01-4B41] Phase 2"
"D00GHG","Influenza A virus infection [ICD-11: 1E30] Phase 2"
"D00GIR","Keratosis [ICD-11: ED56] Phase 2"
"D00GJK","Allergic conjunctivitis [ICD-11: 9A60.02] Phase 2"
"D00GKH","Solid tumour/cancer [ICD-11: 2A00-2F9Z] Investigative"
"D00GLQ","Autoimmune diabetes [ICD-11: 5A10] Investigative"
"D00GLW","Solid tumour/cancer [ICD-11: 2A00-2F9Z] Investigative"
"D00GNI","Familial hypercholesterolemia [ICD-11: 5C80.00] Approved"
"D00GNI","Hypercholesterolaemia [ICD-11: 5C80.0] Approved"
"D00GNJ","Irritable bowel syndrome [ICD-11: DD91.0] Approved"
"D00GNK","Pancreatic cancer [ICD-11: 2C10] Discontinued in Phase 2"
"D00GNN","Solid tumour/cancer [ICD-11: 2A00-2F9Z] Investigative"
"D00GOH","Hepatitis virus infection [ICD-11: 1E50-1E51] Phase 2"
"D00GOS","Rosacea [ICD-11: ED90.0] Approved"
"D00GOV","Melanoma [ICD-11: 2C30] Approved"
"D00GOV","Non-small-cell lung cancer [ICD-11: 2C25.Y] Approved"
"D00GOV","Malignant pleural mesothelioma [ICD-11: 2C26.0] Phase 3"
"D00GOV","Multiple myeloma [ICD-11: 2A83] Phase 3"
"D00GOV","Small-cell lung cancer [ICD-11: 2C25.Y] Phase 3"
"D00GOV","Esophageal cancer [ICD-11: 2B70] Phase 3"
"D00GOV","Gastric adenocarcinoma [ICD-11: 2B72] Phase 3"
"D00GOV","Recurrent glioblastoma [ICD-11: 2A00.00] Phase 3"
"D00GOV","Central nervous system lymphoma [ICD-11: 2B33.5] Phase 2"
"D00GOV","Diffuse large B-cell lymphoma [ICD-11: 2A81] Phase 2"
"D00GOV","Follicular lymphoma [ICD-11: 2A80] Phase 2"
"D00GOV","Prostate cancer [ICD-11: 2C82.0] Phase 2"
"D00GOV","Ovarian cancer [ICD-11: 2C73] Phase 1/2"
"D00GOV","Pancreatic cancer [ICD-11: 2C10] Phase 1/2"
"D00GOV","Triple negative breast cancer [ICD-11: 2C60-2C65] Phase 1/2"
"D00GOV","Chronic myelogenous leukaemia [ICD-11: 2A20.0] Phase 1"
"D00GOV","Renal cell carcinoma [ICD-11: 2C90] Application submitted"
"D00GPQ","Desmoid tumour [ICD-11: 2F7C] Phase 3"
"D00GPQ","Alzheimer disease [ICD-11: 8A20] Phase 2"
"D00GPQ","Solid tumour/cancer [ICD-11: 2A00-2F9Z] Phase 2"
"D00GPY","Solid tumour/cancer [ICD-11: 2A00-2F9Z] Phase 1"
"D00GXL","Alzheimer disease [ICD-11: 8A20] Phase 2"
"D00GXL","Huntington disease [ICD-11: 8A01.10] Phase 2"
"D00GZW","Stroke [ICD-11: 8B20] Phase 2/3"
"D00GZW","Type-2 diabetes [ICD-11: 5A11] Terminated"
"D00GZY","Autoimmune diabetes [ICD-11: 5A10] Phase 3"
"D00HAN","Acute myeloid leukaemia [ICD-11: 2A60] Phase 1"
"D00HAP","Type-2 diabetes [ICD-11: 5A11] Phase 3"
"D00HBE","Neisseria gonorrhoeae infection [ICD-11: 1A7Z] Phase 3"
"D00HBE","Bacterial infection [ICD-11: 1A00-1C4Z] Phase 2"
"D00HBF","Solid tumour/cancer [ICD-11: 2A00-2F9Z] Investigative"
"D00HBR","Opioid dependence [ICD-11: 6C43.2Z] Phase 1"
"D00HCQ","Colorectal cancer [ICD-11: 2B91.Z] Approved"
"D00HCQ","Breast cancer [ICD-11: 2C60-2C65] Phase 3"
"D00HDB","Spinal cord injury [ICD-11: ND51.2] Phase 2"
"D00HDC","Bladder disease [ICD-11: DC11-DC1Z] Investigative"
"D00HDH","Alzheimer disease [ICD-11: 8A20] Investigative"
"D00HDK","Bipolar disorder [ICD-11: 6A60] Preclinical"
"D00HDU","Hypertension [ICD-11: BA00-BA04] Approved"
"D00HDZ","Coronavirus Disease 2019 (COVID-19) [ICD-11: 1D6Y] Phase 1"
"D00HEA","Solid tumour/cancer [ICD-11: 2A00-2F9Z] Investigative"
"D00HEN","Rotavirus infection (Diarrhoea) [ICD-11: ME05.1] Approved"
"D00HFD","Asthma [ICD-11: CA23] Discontinued in Phase 2"
"D00HGB","Rheumatoid arthritis [ICD-11: FA20] Approved"
"D00HGF","Neurological disorder [ICD-11: 6B60] Phase 2/3"
"D00HGY","Type-1 diabetes [ICD-11: 5A10] Phase 1"
"D00HGY","Insulin-dependent diabetes [ICD-11: 5A10] Phase 1"
"D00HHP","Bacterial infection [ICD-11: 1A00-1C4Z] Terminated"
"D00HHS","Nasal congestion [ICD-11: MD11.9] Approved"
"D00HHU","Human immunodeficiency virus-1 infection [ICD-11: 1C62] Phase 1"
"D00HIC","Pseudomonas infection [ICD-11: 1B92] Discontinued in Phase 1"
"D00HMQ","leukaemia [ICD-11: 2A60-2B33] Discontinued in Phase 1"
"D00HMZ","Renal cell carcinoma [ICD-11: 2C90] Phase 2"
"D00HNB","Hypercalcaemia [ICD-11: 5B91.0] Approved"
"D00HNK","Anemia [ICD-11: 3A00-3A9Z] Terminated"
"D00HNQ","Motor neurone disease [ICD-11: 8B60] Investigative"
"D00HPD","Hairy cell leukaemia [ICD-11: 2A82.2] Approved"
"D00HPD","Haematological malignancy [ICD-11: 2B33.Y] Phase 1"
"D00HPK","Dermatomycosis [ICD-11: EA60] Approved"
"D00HPX","Breast cancer [ICD-11: 2C60-2C65] Investigative"
"D00HQB","Multiple sclerosis [ICD-11: 8A40] Investigative"
"D00HQE","Infectious disease [ICD-11: 1A00-CA43.1] Phase 2"
"D00HSK","Pancreatic cancer [ICD-11: 2C10] Phase 3"
"D00HTO","Osteopetrosis [ICD-11: LD24.10] Phase 2"
"D00HTT","Transplant rejection [ICD-11: NE84] Terminated"
"D00HTY","Solid tumour/cancer [ICD-11: 2A00-2F9Z] Clinical trial"
"D00HUZ","Solid tumour/cancer [ICD-11: 2A00-2F9Z] Phase 2"
"D00HWO","Bacterial infection [ICD-11: 1A00-1C4Z] Approved"
"D00HYD","Hyperlipidaemia [ICD-11: 5C80] Phase 1"
"D00HYF","Influenza virus infection [ICD-11: 1E30-1E32] Phase 3"
"D00HYK","Staphylococcus infection [ICD-11: 1B5Y] Phase 2"
"D00HZA","Growth hormone deficiency [ICD-11: 5A61.3] Phase 1"
"D00HZO","Lung cancer [ICD-11: 2C25.0] Investigative"
"D00HZV","Major depressive disorder [ICD-11: 6A70.3] Approved"
"D00IAH","Urolithiasis [ICD-11: GB7Z] Approved"
"D00IBN","Pain [ICD-11: MG30-MG3Z] Approved"
"D00ICD","Peripheral vascular disease [ICD-11: BD4Z] Phase 2"
"D00ICM","Angina pectoris [ICD-11: BA40] Terminated"
"D00ICY","Autoimmune diabetes [ICD-11: 5A10] Phase 2"
