DrugID,Indication
DB00011,For the treatment of venereal or genital warts caused by the Human Papiloma Virus.
DB00012,For the treatment of anemia (from renal transplants or certain HIV treatment)
DB00013,"In Canada, urokinase is indicated for lysis of acute massive pulmonary emboli, acute thrombi obstructing coronary arteries, occlusive thromboemboli in peripheral arteries and grafts, and restoration of patency to intravenous catheters.[L12141]"
DB00014,"Goserelin is indicated for:
- Use in combination with flutamide for the management of locally confined carcinoma of the prostate
- Palliative treatment of advanced carcinoma of the prostate
- The management of endometriosis
- Use as an endometrial-thinning agent prior to endometrial ablation for dysfunctional uterine bleeding
- Use in the palliative treatment of advanced breast cancer in pre- and perimenopausal women"
DB00015,"For lysis of acute pulmonary emboli, intracoronary emboli, and management of myocardial infarction."
DB00016,"Indicated in adult and paediatric patients for the: 
- treatment of anemia due to Chronic Kidney Disease (CKD) in patients on dialysis and not on dialysis.
- treatment of anemia due to zidovudine in patients with HIV-infection. 
- treatment of anemia due to the effects of concomitant myelosuppressive chemotherapy, and upon initiation, there is a minimum of two additional months of planned chemotherapy.
- reduction of allogeneic RBC transfusions in patients undergoing elective, noncardiac, nonvascular surgery."
DB00017,"Used in the treatment of symptomatic Paget's disease for patients unresponsive to alternate treatments or intolerant to such treatments. In addition, it is used in emergency situations when serum calcium levels must be decreased quickly until the underlying condition is identified. It can also be added to existing therapeutic regimens for hypercalcemia such as intravenous fluids and furosemide, oral phosphate or corticosteroids, or other agents. Calcitonin can be used in patients with azotemia and cases where intravenous fluids would be contraindicated due to limited cardiac reserves. Also for the treatment of post-menopausal osteoporosis in women more than 5 years post-menopause.  "
DB00018,For the intralesional treatment of refractory or recurring external condylomata acuminata.
DB00019,"Pegfilgrastim is indicated to decrease the incidence of infection, as manifested by febrile neutropenia, in patients with non­ myeloid malignancies receiving myelosuppressive anti-cancer drugs associated with a clinically significant incidence of febrile neutropenia.[L44221]
It is also indicated to increase survival in patients acutely exposed to myelosuppressive doses of radiation (Hematopoietic Subsyndrome of Acute Radiation Syndrome).[L44221]"
DB00020,For the treatment of cancer and bone marrow transplant
DB00022,"Peginterferon alfa-2b is indicated for the treatment of HCV in combination with [DB00811] and a NS3/4A protease inhibitor for genotype 1 or without a NS3/4A protease inhibitor for genotypes 2-6 [FDA Label]. May be used as a monotherapy in patients with contraindications to or significant intolerance to other anti-viral therapies.
"
DB00023,Indicated as a component of a multi-agent chemotherapeutic regimen for the treatment of patients with acute lymphoblastic leukemia (ALL).[L39809]
DB00024,For detection of residueal or recurrent thyroid cancer
DB00025,"The human recombinant antihemophilic factor is indicated for use in adults and children with hemophilia A for the control and prevention of bleeding episodes, perioperative management, and routine prophylaxis to prevent or reduce the frequency of bleeding episodes.[L41025, L36130]"
DB00026,"Anakinra is an interleukin-1 receptor antagonist indicated for the reduction in signs and symptoms and slowing the progression of structural damage in moderately to severely active rheumatoid arthritis (RA), in patients 18 years of age or older who have failed one or more disease-modifying antirheumatic drugs (DMARDs). Anakinra can be used alone or in combination with DMARDs other than Tumor Necrosis Factor (TNF) blocking agents.[L35415]
Anakinra is also indicated for the treatment of Neonatal-Onset Multisystem Inflammatory Disease (NOMID) and the treatment of Deficiency of Interleukin-1 Receptor Antagonist (DIRA).[L35415] Anakinra is also used off-label for the treatment of several inflammatory diseases.[A247000]
The FDA has issued an emergency use authorization (EUA) for the emergency use of anakinra for the treatment of coronavirus disease 2019 (COVID-19) in hospitalized adults with positive results of direct SARS-CoV-2 viral testing with pneumonia requiring supplemental oxygen (low- or high-flow oxygen) who are at risk of progressing to severe respiratory failure and likely to have an elevated plasma soluble urokinase plasminogen activator receptor (suPAR). Since anakinra is approved for this condition under EUA, the drug should only be used when there are no alternative treatment available.[L43927]"
DB00027,"For treatment of skin lesions, surface wounds and eye infections."
DB00028,"Human immunoglobulin G is indicated for the following conditions:
### Primary Immunodeficiency
- for the treatment of primary immunodeficiency in adult and pediatric patients[L39920, L39930, L39935, L39940, L39945, L39950, L39955, L39960, L39965, L39975, L39980, L40029, L40034, L40044]
- in combination with [hyaluronidase (human recombinant)] for the treatment of primary immunodeficiency in adults[L40039]
### Immune Thrombocytopenic Purpura (ITP)
- for the treatment of acute or chronic immune thrombocytopenic purpura in adult and pediatric patients[L39940, L39950, L39960, L39965, L39970, L39975, L39980]
### Chronic Inflammatory Demyelinating Polyneuropathy (CIDP)
- for the treatment of CIDP in adult patients[L39965, L39975, L39980, L40034]
### Multifocal Motor Neuropathy (MMN)
- for maintenance therapy to improve muscle strength and disability in adult patients with MMN[L39955]
### Prophylaxis of Bacterial Infection
- for the prevention of bacterial infections in patients with hypogammaglobulinemia and/or B-cell chronic lymphocytic leukemia[L39960]
### Coronary Artery Aneurysm Associated With Kawasaki Syndrome
- for the prevention of coronary artery aneurysms in pediatric patients with Kawasaki syndrome[L39960]
### Dermatomyositis
- for the treatment of dermatomyositis in adult patients[L39970]
"
DB00029,"For lysis of acute pulmonary emboli, intracoronary emboli and management of myocardial infarction"
DB00030,Human insulin is indicated to improve glycemic control in adults and pediatric patients with diabetes mellitus.
DB00031,For treatment of myocardial infarction and lysis of intracoronary emboli
DB00032,For the treatment of female infertility
DB00033,Interferon gamma-1b is used for the treatment of Chronic granulomatous disease and Osteopetrosis.
DB00034,"For the treatment of chronic hepatitis C, hairy cell leukemia, AIDS-related Kaposi's sarcoma, and chronic myelogenous leukemia. Also for the treatment of oral warts arising from HIV infection."
DB00035,"- Indicated for the treatment of nocturia due to nocturnal polyuria in adults who awaken at least 2 times per night to void (intranasal). 
- Indicated as antidiuretic replacement therapy in the management of central cranial diabetes insipidus and for management of the temporary polyuria and polydipsia following head trauma or surgery in the pituitary region (intranasal/parenteral).
- Indicated for patients with hemophilia A with factor VIII coagulant activity levels greater than 5% or mild to moderate classic von Willebrand's Disease (Type I) with factor VIII levels greater than 5% during surgical procedures and postoperatively to maintain hemostasis (parenteral)."
DB00036,For treatment of hemorrhagic complications in hemophilia A and B.
DB00038,Indicated for the prevention of severe thrombocytopenia and the reduction of the need for platelet transfusions following myelosuppressive chemotherapy in adult patients with nonmyeloid malignancies who are at high risk of severe thrombocytopenia.[Label]
DB00039,For treatment of oral mucositis associated with chemotherapy and radiation therapy.
DB00040,"Glucagon is indicated as a diagnostic aid in radiologic exams to temporarily inhibit the movement of the gastrointestinal tract and to treat severe hypoglycemia.[L7634,L7637,L7640,L7643,L8519]"
DB00041,For treatment of adults with metastatic renal cell carcinoma.
DB00042,For the treatment of patients with cervical dystonia to reduce the severity of abnormal head position and neck pain associated with cervical dystonia.
DB00043,"This drug is an anti-IgE antibody indicated for:
1. Moderate to severe persistent asthma in patients 6 years of age and older
with a positive skin test or in vitro reactivity to a perennial aeroallergen and symptoms that are inadequately controlled with inhaled corticosteroids [FDA label]
2. Chronic idiopathic urticaria in adults and adolescents 12 years of age and older who remain symptomatic despite H1 antihistamine treatment [FDA label]"
DB00044,For treatment of infertility in women with hypothalamic or pituitary insufficiency (hypogonadotropic hypogonadism) and profound LH deficiency (LH <1.2 international units [IU]/L)
DB00045,For prophylactic treatment of Lyme Disease
DB00046,Insulin lispro is indicated to improve glycemic control in adults and children with diabetes mellitus. 
DB00047,"Insulin glargine is indicated to improve glycemic control in adults and pediatric patients with type 1 diabetes mellitus and in adults with type 2 diabetes mellitus.[L12474,L43532,L43587]"
DB00048,"Collagenase clostridium histolyticum is indicated for the treatment of adults with Dupuytren's contracture with a palpable cord. Additionally, it is used to treat men with Peyronie's disease diagnosed with a penile curvature deformity of at least a 30-degree angle at the beginning of therapy in addition to palpable plaques.[L14882] Collagenase ointment is used for the tissue debridement of chronic dermal ulcers and severely burned tissues.[L14952]
The combination collagenase product, also known as Qwo, is used for the treatment of moderate to severe cellulite in the buttocks of adult women.[L14872]"
DB00049,"For treatment of hyperuricemia, reduces elevated plasma uric acid levels (from chemotherapy)"
DB00050,For the inhibition of premature LH surges in women undergoing controlled ovarian stimulation
DB00051,"Adalimumab is indicated to treat the following conditions: moderately to severely active rheumatoid arthritis in adults; moderately to severely active juvenile idiopathic arthritis in patients 2 years of age and older; active psoriatic arthritis in adults; active ankylosing spondylitis in adults; moderately to severely active Crohn's disease in patients 6 years of age and older; moderately to severely active ulcerative colitis in adults; moderate to severe chronic plaque psoriasis in adults who are candidates for systemic therapy or phototherapy, and when other systemic therapies are medically less appropriate.[L35370] 
Adalimumab has also been used off-label to treat Pyoderma gangrenosum.[A40001,A40002]

"
DB00052,"Somatotropin is indicated for the treatment of pediatric patients who have growth failure due to an inadequate secretion of endogenous growth hormone, short stature associated with Turner syndrome, Prader-Willi syndrome (PWS), idiopathic short stature (ISS), short stature or growth failure in short stature homeobox-containing gene (SHOX) deficiency, and short stature born small for gestational age (SGA).[L31513, L31518] It is indicated for the treatment of growth failure in children associated with chronic kidney disease up to the time of renal transplantation.[L31523]
It is also indicated for adults with adult-onset growth hormone deficiency, either alone or associated with multiple hormone deficiencies (hypopituitarism), as a result of pituitary disease, hypothalamic disease, surgery, radiation therapy, or trauma. It is also used to treat childhood-onset growth hormone deficiency in adults due to congenital, genetic, acquired, or idiopathic causes.[L31518]
Somatotropin is indicated for the treatment of wasting or cachexia in patients with human immunodeficiency virus (HIV) who are receiving antiretroviral therapy to increase lean body mass and body weight and improve physical endurance.[L31498]
Somatotropin is indicated for the treatment of short bowel syndrome in adult patients receiving specialized nutritional support.[L31493]"
DB00053,For the treatment of Gaucher's disease (deficiency in glucocerebrosidase)
DB00054,Abciximab is indicated as an adjunct to percutaneous coronary intervention for the prevention of cardiac ischemic complications in patients undergoing percutaneous coronary intervention and in patients with unstable angina not responding to conventional medical therapy when percutaneous coronary intervention is planned within 24 hours. Abciximab is intended for use with aspirin and heparin and has been studied only in that setting.
DB00055,For reduction of mortality in patients with severe sepsis.
DB00056,Indicated for the treatment of patients with CD33 positive acute myeloid leukemia in first relapse who are 60 years of age or older and who are not considered candidates for other cytotoxic chemotherapy. Indicated for the treatment of patients aged 2 years and older with CD33-positive AML who have experienced a relapse or who have not responded to initial treatment (refractory). 
DB00057,For diagnosis of extrahepatic malignant cancers
DB00058,For chronic augmentation and maintenance therapy in individuals with alpha1-proteinase inhibitor (A1-PI) deficiency and clinical evidence of emphysema.
DB00059,For treatment of acute lymphoblastic leukemia
DB00060,"For treatment of relapsing/remitting multiple sclerosis, also for condyloma acuminatum"
DB00061,For treatment of adenosine deaminase deficiency
DB00062,"Albuminex solution is indicated for adults and children for hypovolemia, ascites, hypoalbuminemia including from burns, acute nephrosis, acute respiratory distress syndrome and cardipulmonary bypass [F229]."
DB00063,For treatment of myocardial infarction and acute coronary syndrome.
DB00065,"* Indicated for reducing signs and symptoms and inducing and maintaining clinical remission in adult or pediatric (≥ 6 years of age) patients with moderately to severely active **Crohn’s disease** who have had an inadequate response to conventional therapy
* Indicated for reducing the number of draining enterocutaneous and rectovaginal fistulas and maintaining fistula closure in adult patients with fistulizing **Crohn’s disease**. 
* Indicated for reducing signs and symptoms, inducing and maintaining clinical remission and mucosal healing, and eliminating corticosteroid use in adult or pediatric (≥ 6 years of age) patients with moderately to severely active **ulcerative colitis** who have had an inadequate response to conventional therapy. 
* Indicated for, in combination with methotrexate, reducing signs and symptoms, inhibiting the progression of structural damage, and improving physical function in patients with moderately to severely active **rheumatoid arthritis**. 
* Indicated for reducing signs and symptoms in patients with active **ankylosing spondylitis**. 
* Indicated for reducing signs and symptoms of active arthritis, inhibiting the progression of structural damage, and improving physical function in patients with **psoriatic arthritis**. 
* Indicated for the treatment of adult patients with chronic severe (i.e., extensive and/or disabling) **plaque psoriasis** who are candidates for systemic therapy and when other systemic therapies are medically less appropriate."
DB00066,"In women having been diagnosed with primary ovarian failure, it is used in combination with human chorionic gonadotropin (hCG) to assist in ovulation and fertility. In men with hypogonadotrophic hypogonadism, it is used to induce spermatogenesis. Follitropin may also be used to cause the ovary to produce several follicles, which can then be harvested for use in gamete intrafallopian transfer (GIFT) or in vitro fertilization (IVF)."
DB00067,Vasopressin is indicated to increase blood pressure in adults in vasodilatory shock refractory to the application of fluids and catecholamines.[L31413]
DB00068,Interferon beta-1b is a drug used for the treatment of relapsing/remitting multiple sclerosis. It has been shown to slow the advance of the disease as well as to decrease the frequency of attacks.
DB00069,"For the treatment of hairy cell leukemia, malignant melanoma, and AIDS-related Kaposi's sarcoma"
DB00070,For increase of absorption and distribution of other injected drugs and for rehydration.
DB00071,For the treatment of type I and II diabetes mellitus.
DB00072,"For the adjuvant treatment of HER2-overexpressing breast cancer, trastuzumab is indicated in several clinical settings: as part of a treatment regimen consisting of doxorubicin, cyclophosphamide, and either paclitaxel or docetaxel; as part of a treatment regimen with docetaxel and carboplatin; or as monotherapy following multi-modality anthracycline-based therapy.[L14015]
Trastuzumab is indicated as a first-line treatment, in combination with paclitaxel, for metastatic HER2-overexpressing breast cancer, and as monotherapy in patients who have previously received one or more chemotherapy regimens in the metastatic setting.[L14015]
Trastuzumab is also indicated, in combination with cisplatin and capecitabine or 5-fluorouracil, for the treatment of patients with HER2-overexpressing metastatic gastric or gastroesophageal junction adenocarcinoma who have not received prior treatment for metastatic disease.[L14015]
Trastuzumab is indicated for subcutaneous administration - in combination with either [hyaluronidase][L14132] or both hyaluronidase and [pertuzumab][L14510] - for the treatment of adults with HER2-positive breast cancers."
DB00073,"Rituximab is indicated for the treatment of adult patients with relapsed or refractory, low-grade or follicular, CD20-positive, B-cell non-Hodgkin’s Lymphoma (NHL) as a single agent. Also, it is indicated for the treatment of adult patients with previously untreated follicular, CD20-positive, B-cell NHL in combination with first line chemotherapy and, in patients achieving a complete or partial response to a rituximab product in combination with chemotherapy, as single-agent maintenance therapy.[L26641,L42025,L42030,L42035,L42040] Additionally, rituximab is indicated for the treatment of adult patients with non-progressing (including stable disease), low-grade, CD20-positive, B-cell NHL as a single agent after first-line cyclophosphamide, vincristine, and prednisone (CVP) chemotherapy; and previously untreated diffuse large B-cell, CD20-positive NHL in combination with cyclophosphamide, doxorubicin, vincristine, prednisone (CHOP) or other anthracycline-based chemotherapy regimens.[L26641,L42025,L42030,L42035,L42040]
Rituximab, in combination with fludarabine and cyclophosphamide (FC), is indicated for the treatment of adult patients with previously untreated and previously treated CD20-positive chronic lymphocytic leukemia (CLL).[L26641,L42025,L42030,L42035,L42040] In combination with methotrexate, rituximab is indicated for the treatment of adult patients with moderately-to severely-active rheumatoid arthritis who have had an inadequate response to one or more TNF antagonist therapies.[L26641,L42025,L42030,L42035] Additionally, rituximab, in combination with glucocorticoids, is indicated for the treatment of adult and pediatric patients 2 years of age and older with Granulomatosis with Polyangiitis (GPA) (Wegener’s Granulomatosis) and Microscopic Polyangiitis (MPA).[L26641,L42025,L42030,L42035]
RITUXAN (rituximab injection for intravenous use) is indicated for the treatment of pediatric patients aged 6 months and older with previously untreated, advanced stage, CD20-positive diffuse large B-cell lymphoma (DLBCL), Burkitt lymphoma (BL), Burkitt-like lymphoma (BLL) or mature B-cell acute leukemia (B-AL) in combination with chemotherapy; as well as the treatment of adult patients with moderate to severe pemphigus vulgaris.[L26641] These indications for RITUXAN are not included in the labels of rituximab biosimilar products (rituximab-arrx, rituximab-abbs, rituximab-pvvr).[L42025,L42030,L42035] The combination product RITUXAN HYCELA (rituximab and hyaluronidase human injection, for subcutaneous use) is not indicated for the treatment of non-malignant conditions.[L42040]"
DB00074,For prophylactic treatment of kidney transplant rejection
DB00075,"For treatment of organ transplant recipients, prevention of organ rejection"
DB00076,For treatment of digitoxin overdose or digitalis glycoside toxicity.
DB00078,For treatment of non-Hodgkin's lymphoma
DB00080,"Daptomycin is indicated for the treatment of complicated skin and skin structure infections (cSSSI) in patients one year of age and older. It is also indicated for the treatment of _Staphylococcus aureus_ bloodstream infections (bacteremia) in patients one year of age and older, including in adult patients with right-sided infective endocarditis.[L32534]
Daptomycin is not indicated for the treatment of pneumonia or left-sided infective endocarditis due to _S. aureus_. Use is not recommended in pediatric patients younger than one year of age due to the risk of potential effects on muscular, neuromuscular, and/or nervous systems (either peripheral and/or
central).[L32534]
As with all antibacterial drugs, it is strongly suggested to perform sufficient testing before treatment initiation in order to confirm an infection caused by susceptible bacteria. Failure to do so may result in suboptimal treatment, treatment failure, and the development of drug-resistant bacteria.[L32534]"
DB00081,"For treatment of non-Hodgkin's lymphoma (CD20 positive, follicular)"
DB00082,Pegvisomant is a growth hormone receptor antagonist used for the treatment of acromegaly.
DB00083,"Botulinum toxin A is indicated for a variety of conditions, depending on the preparations. Cosmetically, it is used for the treatment of facial fine lines and wrinkles, specifically for upper facial rhytides, including forehead, lateral canthus, and glabellar lines.[L32559]
In addition to the above indications, botulinum toxin A is used for the following conditions: treatment of adults with symptomatic overactive bladder with or without incontinence,  treatment of incontinence in adult patients who are not candidates for anticholinergic therapy, treatment of Neurogenic Detrusor Overactivity (NDO) in patients over 5 years who cannot undergo anticholinergic therapy.  Botulinum toxin A is indicated for the prevention of chronic migraines, for the treatment of muscle spasms, cervical dystonia, axillary hyperhidrosis, strabismus,[L32494] and disorders of the 7th cranial nerve.[L32569]
Off-label, botulinum toxin A is used for a variety of conditions such as temporomandibular joint (TMJ) disorders and myofascial pain[A231874], neurogenic thoracic outlet syndrome, epicondylitis, post-stroke pain, post-herpetic neuralgia, diabetic neuropathy, trigeminal neuralgia, neuropathic pain, spinal cord injury, and bladder pain.[A231879]"
DB00085,"The use of pancrelipase amylase is part of the pancreatic enzyme replacement therapy. This therapy is indicated for the treatment of pancreatic insufficiency attributed to cystic fibrosis, chronic pancreatitis or any other medically defined pancreatic disease that might require it.[A32721, A32736] Pancreatic diseases are associated with the deterioration of pancreatic parenchyma and of the dual physiological functions of the pancreas. Once established, pancreatic insufficiency results in malnutrition, weight loss, and steatorrhea.[A32723]"
DB00086,"For the treatment of acute evolving transmural myocardial infarction, pulmonary embolism, deep vein thrombosis, arterial thrombosis or emolism and occlusion of arteriovenous cannulae"
DB00087,"LEMTRADA is indicated for the treatment of relapsing forms of multiple sclerosis (MS), including relapsing-remitting disease and active secondary progressive disease, in adults. Because of its safety profile, the use of LEMTRADA should generally be reserved for patients who have had an inadequate response to two or more drugs indicated for the treatment of MS.[L43397] LEMTRADA contains the same active ingredient (alemtuzumab) found in CAMPATH, and CAMPATH is approved for the treatment of B-cell chronic lymphocytic leukemia (B-CLL), although generally administered at higher and more frequent doses (e.g., 30 mg) than recommended in the treatment of MS.[L43397]"
DB00088,"Alglucerase is indicated for use as a long-term enzyme replacement therapy in patients with Type I Gaucher disease who exhibit signs and symptoms that are severe enough to result in moderate-to-severe anemia, thrombocytopenia, bone disease, or significant hepato- or splenomegaly.[L44266]"
DB00089,For diagnosis of prostate cancer and detection of intra-pelvic metastases.
DB00090,For the treatment of mucopolysaccharidosis
DB00091,"Cyclosporine is approved for a variety of conditions. Firstly, it is approved for the prophylaxis of organ rejection in allogeneic kidney, liver, and heart transplants. It is also used to prevent bone marrow transplant rejection. For the above indications, cyclosporine can be used in conjunction with azathioprine and corticosteroids. Finally, cyclosporine can be used in patients who have chronic transplant rejection and have received previous immunosuppressive therapy[L3002] and to prevent or treat graft-versus-host disease (GVHD).[L11097]
Secondly, cyclosporine is used for the treatment of patients with severe active rheumatoid arthritis (RA) when they no longer respond to methotrexate alone.[L3734] It can be used for the treatment of adult non-immunocompromised patients with severe, recalcitrant, plaque psoriasis that have failed to respond to at least one systemic therapy or when systemic therapies are not tolerated or contraindicated.[L3734] The ophthalmic solution of cyclosporine is indicated to increase tear production in patients suffering from keratoconjunctivitis sicca.[L11097] In addition, cyclosporine is approved for the treatment of steroid dependent and steroid-resistant nephrotic syndrome due to glomerular diseases which may include minimal change nephropathy, focal and segmental glomerulosclerosis or membranous glomerulonephritis.[L11097]
A cyclosporine ophthalmic emulsion is indicated in the treatment of vernal keratoconjunctivitis in adults and children.[L34694]
Off-label, cyclosporine is commonly used for the treatment of various autoimmune and inflammatory conditions such as atopic dermatitis, blistering disorders, ulcerative colitis, juvenile rheumatoid arthritis, uveitis, connective tissue diseases, as well as idiopathic thrombocytopenic purpura.[A139,A174085,A189393,A189396,A189399]"
DB00092,"As an immunosuppressive drug, Alefacept can be used for treatment of moderate to severe chronic plaque psoriasis"
DB00093,"For use as an alternative to adrenaline as a localising agent, provided that local ischaemia is not essential."
DB00094,For treatment of female infertility
DB00095,"For the treatment of adult patients with moderate to severe chronic plaque psoriasis, who are candidates for phototherapy or systemic therapy."
DB00097,For the treatment of female infertility
DB00098,For prevention of renal transplant rejection
DB00099,"Filgrastim is indicated to decrease the incidence of infection‚ as manifested by febrile neutropenia‚ in patients with nonmyeloid malignancies receiving myelosuppressive anti-cancer drugs associated with a significant incidence of severe neutropenia with fever.[L40714]
Filgrastim is indicated for reducing the time to neutrophil recovery and the duration of fever, following induction or consolidation chemotherapy treatment of patients with acute myeloid leukemia.[L40714]
Filgrastim is indicated to reduce the duration of neutropenia and neutropenia-related clinical sequelae‚ e.g.‚ febrile neutropenia, in patients with nonmyeloid malignancies undergoing myeloablative chemotherapy followed by bone marrow transplantation.[L40714]
Filgrastim is indicated for the mobilization of autologous hematopoietic progenitor cells into the peripheral blood for collection by leukapheresis.[L40714]
Filgrastim is indicated for chronic administration to reduce the incidence and duration of sequelae of neutropenia (e.g.‚ fever‚ infections‚ oropharyngeal ulcers) in symptomatic patients with congenital neutropenia‚ cyclic neutropenia‚ or idiopathic neutropenia.[L40714]
Filgrastim is indicated to increase survival in patients acutely exposed to myelosuppressive doses of radiation.[L40714]"
DB00100,For treatment of hemophilia (Christmas disease).
DB00102,For topical treatment of skin ulcers (from diabetes)
DB00103,Agalsidase beta is indicated in the treatment of Fabry disease.[L16383]
DB00104,Octreotide by injection is used for the treatment of acromegaly and the reduction of flushing and diarrhea symptoms related to carcinoid tumors and/or vasoactive intestinal peptide (VIPoma) tumors.[L14513] The delayed-release oral formulation is used for the long-term treatment of acromegaly in patients who tolerate and respond adequately to injectable octreotide and [lanreotide].[L14507]
DB00105,"For the treatment of hairy cell leukemia, malignant melanoma, and AIDS-related Kaposi's sarcoma."
DB00106,For palliative treatment of advanced prostate cancer.
DB00107,"Administration of exogenous oxytocin is indicated in the antepartum period to initiate or improve uterine contractions for vaginal delivery in situations where there is fetal or maternal concern.[L31433] For example, It may be used to induce labor in cases of Rh sensitization, maternal diabetes, preeclampsia at or near term, and when delivery is indicated due to prematurely ruptured membranes.[A229018,L31433] Importantly, oxytocin is not approved or indicated for elective induction of labor. Oxytocin may be used to reinforce labor in select cases of uterine inertia and as adjunctive therapy in the management of incomplete or inevitable abortion. In the postpartum period, oxytocin may be used to induced contractions in the 3rd stage of labor and to control postpartum bleeding or hemorrhage.[L31433]"
DB00108,For treatment of multiple sclerosis.
DB00109,Enfuvirtide is an antiretroviral drug used in combination therapy for the treatment of HIV-1/AIDS.
DB00110,For prophylaxis of respiratory diseases casued by respiratory syncytial virus.
DB00111,Zenapax is a humanized monoclonal antibody used for prevention of renal transplant rejection
DB00112,"As a vascular endothelial growth factor (VEGF) inhibitor, bevacizumab is used in several chemotherapy regimens to treat metastatic colorectal cancer; metastatic, unresectable, locally advanced or recurrent non-squamous non-small cell lung cancer; metastatic renal cell carcinoma; metastatic, persistent, or recurrent cervical cancer; primary peritoneal cancer; epithelial ovarian cancer; fallopian tube cancer; breast cancer; and recurrent glioblastoma.[L12648,L39233,L41514,L43130,L43302]
Interestingly, bevacizumab is currently under investigation for the treatment of COVID-19 complications including acute respiratory distress syndrome (ARDS) and acute lung injury (ALI).[L12699] "
DB00113,For imaging colorectal tumors
DB00114,For nutritional supplementation and for treating dietary shortage or imbalance.
