UniprotAC,GeneName
P20711,DDC
Q2TU84,GIG18
Q53ET4,"
"
Q59FK2,"
"
Q59GM9,"
"
Q5JAM2,ALAS1
Q5VZ30,GAD2
Q6IBS8,DDC
Q6YP21,CCBL2
Q6ZQY3,GADL1
Q96I15,SCLY
Q6WRI0,IGSF10
Q8IUZ5,PHYKPL
Q8IVA8,GAD1
P34897,SHMT2
P22557,ALAS2
Q8TD30,GPT2
Q96EN8,MOCOS
Q96GA7,SDSL
Q9BXA1,"
"
Q9GZT4,SRR
Q9HD40,SEPSECS
Q9NUV7,SPTLC3
Q9UGI5,GAD65
Q9UJX1,TLH6
Q99707,MTR
P22033,MUT
Q9UBK8,MTRR
Q8IVH4,MMAA
Q9Y4U1,MMACHC
P42898,MTHFR
P11586,MTHFD1
P13995,MTHFD2
P48728,AMT
O75891,ALDH1L1
O95954,FTCD
P31939,ATIC
Q96DP5,MTFMT
P12081,HARS
Q99624,SLC38A3
P42357,HAL
P21964,COMT
Q8N1G2,CMTR1
Q9HBK9,AS3MT
Q14749,GNMT
P17707,AMD1
P31153,MAT2A
Q00266,MAT1A
O15427,SLC16A3
P36021,SLC16A2
O15375,SLC16A5
P30613,PKLR
O15403,SLC16A6
O60669,SLC16A7
P11177,PDHB
P14618,PKM
O15374,SLC16A4
O95907,SLC16A8
P53985,SLC16A1
P11498,PC
Q9UHI5,SLC7A8
Q9Y285,FARSA
P00439,PAH
O95363,FARS2
Q9NSD9,FARSB
P07101,TH
P05166,PCCB
P50747,HLCS
Q9HCC0,MCCC2
O00763,ACACB
Q96RQ3,MCCC1
P05165,PCCA
Q13085,ACACA
P36544,CHRNA7
Q9Y5K3,PCYT1B
P22303,ACHE
P49585,PCYT1A
O14939,PLD2
P06276,BCHE
Q13393,PLD1
Q8TCT1,PHOSPHO1
P30825,SLC7A1
O43246,SLC7A4
Q8WY07,SLC7A3
P52569,SLC7A2
Q15046,KARS
P04424,ASL
P35228,NOS2
P78540,ARG2
P00966,ASS1
P29474,NOS3
Q54873,"
"
P24300,xylA
O00469,PLOD2
O60568,PLOD3
O75936,BBOX1
P09172,DBH
P19021,PAM
Q32P28,P3H1
Q8IVL5,P3H2
Q8IVL6,P3H3
P13674,P4HA1
Q8N543,OGFOD1
Q6N063,OGFOD2
Q6NS38,ALKBH2
Q96Q83,ALKBH3
Q9BY66,KDM5D
Q02809,PLOD1
Q9NVH6,TMLHE
Q9NXG6,P4HTM
Q9GZT9,EGLN1
Q96KS0,EGLN2
Q9H6Z9,EGLN3
P52788,SMS
Q9NWM0,SMOX
P41180,CASR
P08588,ADRB1
P07550,ADRB2
Q8N142,ADSSL1
Q9UJS0,SLC25A13
P45381,ASPA
P08243,ASNS
Q03154,ACY1
P14868,DARS
O75746,SLC25A12
Q12797,ASPH
P22234,PAICS
P30520,ADSS
P43005,SLC1A1
Q5T6L4,ASS
Q6PI48,DARS2
Q7L266,ASRGL1
P07998,RNASE1
P61626,LYZ
P00480,OTC
P05089,ARG1
P54368,OAZ1
Q9BXI2,SLC25A2
Q9Y619,SLC25A15
P50440,GATM
P17812,CTPS1
Q06203,PPAT
P15104,GLUL
Q13131,PRKAA1
P55263,ADK
Q9Y478,PRKAB1
Q9NR19,ACSS2
Q08828,ADCY1
P33121,ACSL1
P16220,CREB1
Q07343,PDE4B
P49773,HINT1
Q08499,PDE4D
P09467,FBP1
O60427,FADS1
O95864,FADS2
Q8NER1,TRPV1
Q07869,PPARA
Q96RI1,NR1H4
Q03181,PPARD
P37231,PPARG
P19793,RXRA
Q9NXB9,ELOVL2
Q9NYP7,ELOVL5
P32418,SLC8A1
P49591,SARS
P50579,METAP2
Q93088,BHMT
Q9H2M3,BHMT2
Q9Y2Z4,YARS2
P54577,YARS
P11473,VDR
P31260,HOXA10
Q9UPY5,SLC7A11
O60931,CTNS
P51649,ALDH5A1
Q9BXA5,SUCNR1
Q969G6,RFK
P0AFU8,ribC
P30043,BLVRB
P15291,B4GALT1
O60513,B4GALT4
Q9UJ70,NAGK
Q9UK23,NAGPA
P54802,NAGLU
P51606,RENBP
Q13255,GRM1
Q14833,GRM4
Q16099,GRIK4
Q16478,GRIK5
Q14831,GRM7
O00222,GRM8
O00341,SLC1A7
O14841,OPLAH
O15067,PFAS
O15399,GRIN2D
O94925,GLS
P07814,EPRS
P43003,SLC1A3
P43004,SLC1A2
P48506,GCLC
P48664,SLC1A6
P49448,GLUD2
P49915,GMPS
Q05586,GRIN1
Q05932,FPGS
Q07075,ENPEP
Q12879,GRIN2A
Q13224,GRIN2B
Q14957,GRIN2C
Q5JPH6,EARS2
Q6IA69,NADSYN1
Q8N159,NAGS
Q8TCU5,GRIN3A
Q9UDR5,AASS
Q9UI32,GLS2
Q9ULA0,DNPEP
Q9Y646,CPQ
P00367,GLUD1
P39086,GRIK1
P42261,GRIA1
P48507,GCLM
Q05329,GAD2
P42262,GRIA2
P42263,GRIA3
P48058,GRIA4
P54886,ALDH18A1
Q13002,GRIK2
Q13003,GRIK3
P15121,AKR1B1
P14780,MMP9
P08684,CYP3A4
O75715,GPX5
P00390,GSR
P48637,GSS
P09488,GSTM1
Q9Y2Q3,GSTK1
Q16772,GSTA3
P21266,GSTM3
O15217,GSTA4
Q03013,GSTM4
Q7RTV2,GSTA5
P09211,GSTP1
P78417,GSTO1
P07203,GPX1
P18283,GPX2
P30711,GSTT1
O43708,GSTZ1
P22352,GPX3
Q04760,GLO1
Q16873,LTC4S
O14880,MGST3
O60760,HPGDS
P08263,GSTA1
P09210,GSTA2
P10620,MGST1
P10768,ESD
P19440,GGT1
P28161,GSTM2
P35754,GLRX
P36969,GPX4
P46439,GSTM5
P59796,GPX6
Q16775,HAGH
Q6NSD4,GPX1
Q96SL4,GPX7
Q99735,MGST2
Q9H4Y5,GSTO2
Q9NS18,GLRX2
Q9UG56,PISD
Q8WTV0,SCARB1
P17252,PRKCA
P48651,PTDSS1
P49619,DGKG
Q16760,DGKD
Q9BVG9,PTDSS2
Q9NXE4,SMPD4
Q9NY59,SMPD3
Q9Y2Q0,ATP8A1
P41250,GARS
Q14032,BAAT
Q14330,GPR18
Q6IB77,GLYAT
Q8WU03,GLYATL2
Q969I3,GLYATL1
Q9P0Z9,PIPOX
O60391,GRIN3B
P23415,GLRA1
P48167,GLRB
O75311,GLRA3
P23416,GLRA2
O00764,PDXK
P06732,CKM
P12532,CKMT1A
P12277,CKB
P17540,CKMT2
P48029,SLC6A8
Q14353,GAMT
Q15031,LARS2
O60294,LCMT2
Q9UIC8,LCMT1
Q9P2J5,LARS
P23381,WARS
P00953,trpS
Q9UGM6,WARS2
P49589,CARS
P16455,MGMT
Q9HA77,CARS2
Q16878,CDO1
Q9H3S4,TPK1
Q06432,CACNG1
P35354,PTGS2
P23219,PTGS1
O95865,DDAH2
O94760,DDAH1
P29475,NOS1
Q9UM07,PADI4
Q6TGC4,PADI6
Q9ULC6,PADI1
Q9ULW8,PADI3
Q9Y2J8,PADI2
P26639,TARS
Q9BW92,TARS2
Q47066,bla
O60701,UGDH
P07327,ADH1A
Q00796,SORD
P08319,ADH4
P00326,ADH1C
P00325,ADH1B
P40394,ADH7
P21695,GPD1
Q6ZMR3,LDHAL6A
P11766,ADH5
Q99714,HSD17B10
P40926,MDH2
P00338,LDHA
P23368,ME2
P51659,HSD17B4
Q9BYZ2,LDHAL6B
P07864,LDHC
P07195,LDHB
Q08426,EHHADH
Q16836,HADH
Q16798,ME3
Q02338,BDH1
P40925,MDH1
P31937,HIBADH
P37058,HSD17B3
P04035,HMGCR
P48163,ME1
O43175,PHGDH
P56937,HSD17B7
P51553,IDH3G
O43837,IDH3B
P50213,IDH3A
P14061,HSD17B1
P37059,HSD17B2
Q92781,RDH5
O95479,H6PD
Q92506,HSD17B8
P17516,AKR1C4
P12268,IMPDH2
P42330,AKR1C3
P15428,HPGD
Q13630,TSTA3
Q04828,AKR1C1
P28845,HSD11B1
P26439,HSD3B2
P14060,HSD3B1
P20839,IMPDH1
P40939,HADHA
P05091,ALDH2
P80365,HSD11B2
P52895,AKR1C2
Q15738,NSDHL
P48448,ALDH3B2
Q02252,ALDH6A1
P30838,ALDH3A1
P00352,ALDH1A1
O14556,GAPDHS
P49189,ALDH9A1
P47895,ALDH1A3
P30837,ALDH1B1
P43353,ALDH3B1
P04406,GAPDH
O94788,ALDH1A2
P51648,ALDH3A2
P49419,ALDH7A1
Q96C36,PYCR2
P32322,PYCR1
P29803,PDHA2
P08559,PDHA1
P53004,BLVRA
P16219,ACADS
P00374,DHFR
Q02218,OGDH
Q9UBM7,DHCR7
P16083,NQO2
P03891,MT-ND2
P03897,MT-ND3
O75251,NDUFS7
P30038,ALDH4A1
P00387,CYB5R3
Q86Y39,NDUFA11
P03905,MT-ND4
P09417,QDPR
P03886,MT-ND1
Q13423,NNT
Q16718,NDUFA5
Q16795,NDUFA9
P03901,MT-ND4L
O95299,NDUFA10
O95182,NDUFA7
O15239,NDUFA1
P03923,MT-ND6
P03915,MT-ND5
O00483,NDUFA4
P56556,NDUFA6
O14561,NDUFAB1
O43678,NDUFA2
P51970,NDUFA8
O95167,NDUFA3
O95169,NDUFB8
O95298,NDUFC2
O75438,NDUFB1
P28331,NDUFS1
O96000,NDUFB10
O95168,NDUFB4
O43676,NDUFB3
O95178,NDUFB2
P17568,NDUFB7
Q9Y6M9,NDUFB9
O75306,NDUFS2
O43674,NDUFB5
O43677,NDUFC1
O95139,NDUFB6
P56181,NDUFV3
P09622,DLD
O75489,NDUFS3
Q9UI09,NDUFA12
O43920,NDUFS5
O43181,NDUFS4
P49821,NDUFV1
P19404,NDUFV2
Q9P0J0,NDUFA13
O75380,NDUFS6
Q9NRX3,NDUFA4L2
O00217,NDUFS8
Q02928,CYP4A11
P10515,DLAT
Q15800,MSMO1
P09601,HMOX1
P30519,HMOX2
P05093,CYP17A1
P14679,TYR
P41439,FOLR3
P14207,FOLR2
P15328,FOLR1
O14842,FFAR1
O15540,FABP7
O60488,ACSL4
P09917,ALOX5
Q7Z2H8,SLC36A1
P49588,AARS
P43007,SLC1A4
Q5JTZ9,AARS2
P26640,VARS
P05090,APOD
P41222,PTGDS
Q96NR8,RDH12
Q8NBN7,RDH13
O95237,LRAT
O75911,DHRS3
Q6NUM9,RETSAT
Q8TC12,RDH11
Q9BTZ2,DHRS4
Q9HBH5,RDH14
Q9NYR8,RDH8
Q9UDX3,SEC14L4
Q9UDX4,SEC14L3
O76054,SEC14L2
O75469,NR1I2
P05771,PRKCB
P23743,DGKA
P62714,PPP2CB
P67775,PPP2CA
Q9Y234,LIPT1
Q9Y289,SLC5A6
O43766,LIAS
P45954,ACADSB
P41252,IARS
Q9NSE4,IARS2
Q7RTX0,TAS1R3
Q8TE23,TAS1R2
Q9BQB6,VKORC1
Q8N0U8,VKORC1L1
P04070,PROC
P15559,NQO1
P02818,BGLAP
O95255,ABCC6
O15439,ABCC4
P33527,ABCC1
P13569,CFTR
P42336,PIK3CA
P68400,CSNK2A1
P67870,CSNK2B
Q96G91,P2RY11
P53041,PPP5C
P42684,ABL2
O95477,ABCA1
Q9UM73,ALK
Q13564,NAE1
P10398,ARAF
P37023,ACVRL1
P49902,NT5C2
O43681,ASNA1
O60706,ABCC9
P31749,AKT1
P25098,ADRBK1
O14727,APAF1
Q9NUB1,ACSS1
P36896,ACVR1B
Q04771,ACVR1
O95342,ABCB11
Q96Q40,CDK15
P12235,SLC25A4
Q09428,ABCC8
Q9Y4W6,AFG3L2
P35626,ADRBK2
Q16671,AMHR2
Q07912,TNK2
P00519,ABL1
P08183,ABCB1
P45844,ABCG1
Q92887,ABCC2
Q9UN76,SLC6A14
Q99884,SLC6A7
O15460,P4HA2
O43272,PRODH
O43447,PPIH
P23284,PPIB
P45877,PPIC
Q13427,PPIG
Q4W8W1,P5CR2
Q7L3T8,PARS2
Q53H96,PYCRL
Q96EM0,L3HYPDH
P07741,APRT
Q13126,MTAP
Q05603,cobT
P24666,ACP1
P0AF12,mtnN
Q9BY49,PECR
P17802,mutY
Q8RLY5,ptd
P78362,SRPK2
Q5SL87,ruvB
Q9H2H9,SLC38A1
Q15758,SLC1A5
O43776,NARS
Q96I59,NARS2
Q92769,HDAC2
P31645,SLC6A4
Q12809,KCNH2
P30556,AGTR1
P12821,ACE
P46663,BDKRB1
P04278,SHBG
Q96QT4,TRPM7
P04150,NR3C1
O75899,GABBR2
P61073,CXCR4
Q9UBS5,GABBR1
Q05940,SLC18A2
Q01959,SLC6A3
Q16568,CARTPT
Q96RJ0,TAAR1
P21397,MAOA
Q99870,VMAT2
P23975,SLC6A2
P35348,ADRA1A
P14416,DRD2
P27338,MAOB
P32239,CCKBR
P43681,CHRNA4
P17787,CHRNB2
Q15822,CHRNA2
P32297,CHRNA3
P30532,CHRNA5
Q15825,CHRNA6
Q9UGM1,CHRNA9
Q9GZZ6,CHRNA10
Q05901,CHRNB3
P30926,CHRNB4
P11511,CYP19A1
P28329,CHAT
P20309,CHRM3
P11229,CHRM1
P14867,GABRA1
P28074,PSMB5
P20618,PSMB1
P01303,NPY
Q14524,SCN5A
P35372,OPRM1
Q99250,SCN2A
P30542,ADORA1
P08913,ADRA2A
P28335,HTR2C
P41145,OPRK1
P41143,OPRD1
Q693P7,CHRNA7
P25103,TACR1
P04293,"
"
P09250,TK
Q9QNF7,TK
P10613,ERG11
P62508,ESRRG
P11474,ESRRA
Q99808,SLC29A1
P11485,NA
Q99519,NEU1
Q9Y3R4,NEU2
O43193,MLNR
P20061,TCN1
Q9BXJ7,AMN
O60494,CUBN
P29274,ADORA2A
P29275,ADORA2B
P0DMS8,ADORA3
Q01064,PDE1B
P21817,RYR1
P54750,PDE1A
P78527,PRKDC
O00329,PIK3CD
P42338,PIK3CB
Q14643,ITPR1
Q13315,ATM
P08172,CHRM2
O76074,PDE5A
P18545,PDE6G
Q13956,PDE6H
Q9NZQ7,CD274
O95069,KCNK2
Q14500,KCNJ12
P13922,"
"
P07686,HEXB
P54219,SLC18A1
O15392,BIRC5
Q9H244,P2RY12
P10826,RARB
P13631,RARG
P28702,RXRB
P48443,RXRG
P05412,JUN
P10276,RARA
P35368,ADRA1B
P25100,ADRA1D
P00797,REN
P20648,ATP4A
P55011,SLC12A2
Q13621,SLC12A1
P35367,HRH1
P28221,HTR1D
P28222,HTR1B
P30939,HTR1F
P08908,HTR1A
P48048,KCNJ1
P43700,gyrA
P43702,parC
P11388,TOP2A
P27169,PON1
O90777,HIV-1 protease
Q14654,KCNJ11
Q72874,pol
Q09470,KCNA1
P98194,ATP2C1
O14983,ATP2A1
Q8XJ01,pbpA
P54289,CACNA2D1
P00915,CA1
P00918,CA2
P22748,CA4
O15111,CHUK
Q9NZK7,PLA2G2E
Q14432,PDE3A
Q72547,pol
Q04782,ERG7
P47869,GABRA2
P34903,GABRA3
P48169,GABRA4
P31644,GABRA5
Q16445,GABRA6
P23921,RRM1
P31350,RRM2
Q7LG56,RRM2B
P09884,POLA1
Q07864,POLE
P56282,POLE2
Q9NRF9,POLE3
Q9NR33,POLE4
P00491,PNP
P35498,SCN1A
Q13936,CACNA1C
O14920,IKBKB
P28223,HTR2A
P21728,DRD1
P21918,DRD5
P35462,DRD3
P21917,DRD4
P28566,HTR1E
P50406,HTR6
P34969,HTR7
P18089,ADRA2B
P18825,ADRA2C
P08173,CHRM4
P08912,CHRM5
P46098,HTR3A
P47898,HTR5A
P41595,HTR2B
P0C0X2,folP2
P0C0X1,folP1
Q9UQD0,SCN8A
Q07699,SCN1B
Q9NY46,SCN3A
Q92731,ESR2
P03372,ESR1
O95718,ESRRB
Q15596,NCOA2
P10275,AR
P0A7V8,rpsD
O15554,KCNN4
Q8TDS4,HCAR2
P0AC13,folP
P0A6J8,ddlA
Q9L888,alr
Q08257,CRYZ
P0AD68,ftsI
Q08289,CACNB2
O95180,CACNA1H
Q9NY47,CACNA2D2
Q01668,CACNA1D
Q13698,CACNA1S
P25021,HRH2
P07451,CA3
Q15878,CACNA1E
C1KC03,mecA
P02918,mrcA
P02919,mrcB
P0AEB2,dacA
P08506,dacC
P02763,ORM1
P27815,PDE4A
Q99829,CPNE1
Q8TCT9,HM13
Q15155,NOMO1
P09874,PARP1
Q7Z5B4,RIC3
Q9Y4R7,TTLL3
P10827,THRA
P10828,THRB
P12004,PCNA
Q9NZV8,KCND2
Q9UK17,KCND3
P19652,ORM2
Q9Y5Y9,SCN10A
Q15858,SCN9A
P35499,SCN4A
P14324,FDPS
O95749,GGPS1
P42574,CASP3
P55211,CASP9
O43451,MGAM
P14410,SI
P04746,AMY2A
P10253,GAA
P43088,PTGFR
P04083,ANXA1
P48549,KCNJ3
P18858,LIG1
P49916,LIG3
P04818,TYMS
P06401,PGR
Q9Y6Y9,LY96
P34995,PTGER1
P06478,TK
P24024,P
P44469,mrdA
P0AD65,mrdA
P45059,ftsI
P24228,dacB
P16435,POR
Q02641,CACNB1
O00180,KCNK1
Q9Y257,KCNK6
Q9H252,KCNH6
Q9NS40,KCNH7
Q9H4B7,TUBB1
P43166,CA7
Q9UKV0,HDAC9
Q13547,HDAC1
P38936,CDKN1A
P14210,HGF
P9WJ63,tlyA
Q15185,PTGES3
Q75Y35,pbp3
P0A3M6,penA
Q8DNB6,pbp2a
Q7CRA4,pbp1b
Q13639,HTR4
P13945,ADRB3
P04629,NTRK1
Q16620,NTRK2
O43526,KCNQ2
Q9H3N8,HRH4
Q99720,SIGMAR1
O43525,KCNQ3
P08909,Htr2c
P16066,NPR1
P14555,PLA2G2A
Q8N8N7,PTGR2
Q9Y5Y4,PTGDR2
P19525,EIF2AK2
P9WNL5,embC
P9WNL7,embB
P9WNL9,embA
Q16134,ETFDH
P06715,gor
P42345,MTOR
P62942,FKBP1A
P35869,AHR
P95029,fas
O43497,CACNA1G
P32754,HPD
P00492,HPRT1
P42971,pbpC
P05193,ampC
Q12791,KCNMA1
P05108,CYP11A1
Q27738,"
"
P17752,TPH1
P07437,TUBB
A2QLK4,fksA
Q9NYX4,CALY
P0DJD9,PGA5
P09038,FGF2
P01133,EGF
Q14994,NR1I3
P18405,SRD5A1
P08546,UL54
Q9UE69,"
"
P00720,E
P43119,PTGIR
P43116,PTGER2
Q13258,PTGDR
Q02880,TOP2B
Q9P0X4,CACNA1I
Q00975,CACNA1B
Q8IZS8,CACNA2D3
P17405,SMPD1
P23141,CES1
P51170,SCNN1G
P37088,SCNN1A
P51168,SCNN1B
P51172,SCNN1D
P07202,TPO
P05023,ATP1A1
O60840,CACNA1F
P54284,CACNB3
O00305,CACNB4
P08235,NR3C2
P47870,GABRB2
P18507,GABRG2
P15056,BRAF
P04049,RAF1
P35916,FLT4
P35968,KDR
P36888,FLT3
P10721,KIT
P07949,RET
P17948,FLT1
P10875,TUB2
Q99456,KRT12
P32238,CCKAR
O15245,SLC22A1
P01008,SERPINC1
P05546,SERPIND1
P41972,ileS
Q8DR59,pbpA
P46059,SLC15A1
Q16348,SLC15A2
Q02763,TEK
Q53707,mecA
P12256,"
"
Q16739,UGCG
P19099,CYP11B2
Q89ZI2,"
"
P11168,SLC2A2
O60502,MGEA5
Q07806,mrcA
Q9X6W0,ponB
P18505,GABRB1
P28472,GABRB3
P24046,GABRR1
P33402,GUCY1A2
P04731,MT1A
P14902,IDO1
P55017,SLC12A3
P47989,XDH
P0ABQ4,folA
P30085,CMPK1
P0ADY7,rplP
P24093,draA
P08174,CD55
P10636,MAPT
P0A7S3,rpsL
P0A7X3,rpsI
P15555,"
"
P00811,ampC
O95259,KCNH1
P09455,RBP1
P14770,GP9
P21554,CNR1
P34972,CNR2
Q9Y271,CYSLTR1
P61024,CKS1B
P0DP23,CALM1
P21430,M
Q96SW2,CRBN
O14788,TNFSF11
P33151,CDH5
P50453,SERPINB9
P04155,TFF1
H3BUU9,CDH11
O15530,PDPK1
A0A0E1R3H3,pbpC
Q06AK7,topA
Q14697,GANAB
Q8TET4,GANC
Q4U2R8,SLC22A6
Q8TCC7,SLC22A8
Q9NSA0,SLC22A11
Q9Y694,SLC22A7
B2ZTR6,"
"
O14746,TERT
Q99705,MCHR1
P94692,por
P00750,PLAT
P08519,LPA
O00264,PGRMC1
P04839,CYBB
P29372,MPG
P02787,TF
O00244,ATOX1
F1L7U3,"
"
Q71U36,TUBA1A
P68371,TUBB4B
P83223,"
"
P05981,HPN
P17936,IGFBP3
Q15238,PSG5
Q6V0L0,CYP26C1
Q92206,ERG1
P15502,ELN
P08149,penA
Q60FT7,pbp3
O76082,SLC22A5
P78352,DLG4
P53608,rocF
P0AES4,gyrA
P0C1U9,parC
Q59192,parE
P05653,gyrA
C3T8E2,mdtK
B4YQT9,"
"
P20831,gyrA
P68366,TUBA4A
P66010,trxB
P51857,AKR1D1
P31213,SRD5A2
P00582,polA
P18314,ureC
P39900,MMP12
P00813,ADA
P04798,CYP1A1
P02708,CHRNA1
P06818,NA
P27907,NA
P24530,EDNRB
P25101,EDNRA
P0A7S9,rpsM
P0AG59,rpsN
P0A7U3,rpsS
O14649,KCNK3
Q9NPC2,KCNK9
Q16790,CA9
O43570,CA12
Q9UJT1,TUBD1
P23258,TUBG1
Q9UJT0,TUBE1
P06864,ebgA
P50416,CPT1A
Q9H015,SLC22A4
P43155,CRAT
Q8N8R3,SLC25A29
O43772,SLC25A20
Q9UKG9,CROT
P23786,CPT2
P47712,PLA2G4A
P12429,ANXA3
P09525,ANXA4
P08758,ANXA5
P04054,PLA2G1B
P19801,AOC1
Q16515,ASIC2
P78348,ASIC1
P19634,SLC9A1
P00749,PLAU
O00519,FAAH
P27361,MAPK3
O60218,AKR1B10
P54710,FXYD2
Q6FHJ7,SFRP4
Q9NR96,TLR9
Q8MU52,GST
P09429,HMGB1
Q9BYF1,ACE2
P9WGR1,inhA
P9WIE5,katG
P50135,HNMT
P0A7Z4,rpoA
P0A8V2,rpoB
P0A8T7,rpoC
P07900,HSP90AA1
P14625,HSP90B1
P08473,MME
P11274,BCR
O43519,RET
P07333,CSF1R
Q08345,DDR1
Q16832,DDR2
P14735,IDE
P49019,HCAR3
Q15274,QPRT
P40261,NNMT
P29074,PTPN4
Q13332,PTPRS
P23469,PTPRE
P38606,ATP6V1A
P03200,"
"
P68344,"
"
P0C002,sulI
P53848,FOL1
Q9F0I5,cft
P22102,GART
Q96P88,GNRHR2
Q9Y6L6,SLCO1B1
P15538,CYP11B1
P10109,FDX1
Q08493,PDE4C
P41594,GRM5
O00555,CACNA1A
A9X444,"
"
Q15125,EBP
P45983,MAPK8
P05230,FGF1
P08620,FGF4
Q03393,PTS
P06310,"
"
Q9HC97,GPR35
Q9Y2I1,NISCH
P52647,ydbK
P17117,nfsA
P0A7R5,rpsJ
P01130,LDLR
Q05486,P
D6R448,mecA
Q9NS75,CYSLTR2
P21462,FPR1
P05141,SLC25A5
P12236,SLC25A6
Q86U10,ASPG
P26358,DNMT1
Q9Y6K1,DNMT3A
Q9NYK1,TLR7
Q9NR97,TLR8
P00363,frdA
Q14534,SQLE
O14717,TRDMT1
P33261,CYP2C19
P05067,APP
P30049,ATP5D
Q8NFJ5,GPRC5A
P49788,RARRES1
P31025,LCN1
Q9NY56,OBP2A
P02753,RBP4
Q16654,PDK4
O43174,CYP26A1
Q9NR63,CYP26B1
Q14081,"
"
P06149,dld
O14521,SDHD
P02359,rpsG
P0A7V3,rpsC
P0A7W7,rpsH
P04156,PRNP
C9EH48,mdfA
Q9H2X9,SLC12A5
Q9UHW9,SLC12A6
Q9Y666,SLC12A7
Q9UP95,SLC12A4
Q969P6,TOP1MT
P11387,TOP1
P13866,SLC5A1
Q9Y5N1,HRH3
P23297,S100A1
P80511,S100A12
P04271,S100B
Q99584,S100A13
P29034,S100A2
P0A7J6,rplJ
P48775,TDO2
Q16853,AOC3
Q99527,GPER1
P00846,MT-ATP6
Q14457,BECN1
P03956,MMP1
P08253,MMP2
P08254,MMP3
P09237,MMP7
P22894,MMP8
P09238,MMP10
P24347,MMP11
P45452,MMP13
P50281,MMP14
P51511,MMP15
P51512,MMP16
Q9ULZ9,MMP17
Q99542,MMP19
O60882,MMP20
Q8N119,MMP21
O75900,MMP23A
Q9Y5R2,MMP24
Q9NPA2,MMP25
Q9NRE1,MMP26
Q9H306,MMP27
Q9H239,MMP28
P09252,"
"
